Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Aug 30,at Morehead State,"L, 55-0",3,1,4,-,-,0,-,-,-,-,-,-,-,-
Sep 8,N.C. Wesleyan,"W, 24-14",0,1,1,-,-,0,-,-,-,-,-,-,-,-
Sep 15,at Ferrum College,"L, 20-7",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 22,at Ave Maria,"L, 49-30",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 29,VU-Lynchburg,"L, 19-16",0,1,1,-,-,0,-,-,-,-,-,-,-,-
Oct 5,vs. Apprentice,"W, 20-14",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 13,at Brevard,"L, 59-24",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 20,Concordia-Selma,"L, 20-14",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 27,at Alfred State,"W, 21-6",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 3,Webber Int'l,"W, 27-6",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 10,at Edward Waters,"W, 17-10",-,-,0,-,-,0,-,-,-,-,-,-,-,-
