GIDP,BB,AVG,HR,OPS
0,9,0.182,0,0.513
2,22,0.224,1,0.616
6,26,0.247,7,0.747
4,10,0.315,2,0.869
2,28,0.301,4,0.816
2,18,0.22,1,0.597
5,36,0.281,3,0.802
1,11,0.18,1,0.578
0,7,0.16,1,0.446
1,12,0.234,0,0.57
0,12,0.215,0,0.556
4,10,0.24,1,0.633
0,10,0.23,1,0.613
2,10,0.228,1,0.641
2,14,0.261,0,0.684
3,14,0.19,0,0.585
3,19,0.253,0,0.669
2,4,0.233,0,0.592
1,12,0.194,0,0.656
4,13,0.221,0,0.582
1,16,0.23,1,0.608
5,5,0.239,0,0.598
4,16,0.181,2,0.502
1,19,0.22,2,0.628
7,28,0.227,1,0.634
1,3,0.056,0,0.226
3,9,0.287,0,0.784
2,8,0.192,1,0.554
5,15,0.231,0,0.557
1,12,0.235,0,0.586
0,1,0.0,0,0.25
3,18,0.2,1,0.608
4,19,0.29,0,0.683
3,29,0.263,1,0.738
1,15,0.187,0,0.546
0,0,0.0,0,0.0
3,13,0.245,0,0.66
2,9,0.256,5,0.709
5,27,0.215,1,0.668
1,7,0.309,1,0.933
0,3,0.2,0,0.52
3,22,0.199,0,0.571
1,8,0.215,0,0.559
7,41,0.244,0,0.719
3,15,0.187,1,0.511
1,25,0.242,6,0.74
6,22,0.231,3,0.659
0,6,0.158,0,0.449
1,28,0.28,1,0.783
8,20,0.212,2,0.624
0,3,0.091,0,0.377
2,7,0.207,0,0.521
4,14,0.293,1,0.726
3,18,0.302,0,0.708
3,17,0.203,2,0.667
3,35,0.226,3,0.65
4,16,0.219,3,0.597
2,37,0.293,1,0.786
8,24,0.273,1,0.714
1,32,0.185,0,0.582
0,7,0.222,0,0.582
3,14,0.253,0,0.617
0,0,0.0,0,0.25
7,11,0.187,2,0.6
4,22,0.176,0,0.51
0,10,0.233,2,0.666
1,8,0.286,0,0.816
3,22,0.232,2,0.635
0,34,0.184,1,0.634
1,18,0.216,0,0.642
1,8,0.188,0,0.531
3,17,0.155,1,0.493
0,5,0.171,0,0.464
2,15,0.162,0,0.426
0,2,0.077,0,0.213
4,10,0.254,0,0.631
3,20,0.338,3,0.871
1,8,0.271,0,0.698
4,18,0.258,1,0.645
5,10,0.201,6,0.611
0,0,0.143,0,0.286
2,18,0.246,0,0.587
1,18,0.205,2,0.567
0,33,0.248,0,0.647
1,7,0.234,1,0.619
2,33,0.254,0,0.754
3,5,0.213,1,0.558
1,8,0.163,1,0.587
0,20,0.155,0,0.507
3,18,0.219,0,0.618
3,23,0.255,0,0.631
4,28,0.257,2,0.705
1,9,0.223,0,0.55
0,19,0.272,0,0.717
1,11,0.207,0,0.605
2,14,0.255,2,0.708
2,17,0.262,3,0.732
2,7,0.287,2,0.695
1,4,0.215,0,0.537
1,0,0.267,0,0.8
3,38,0.203,0,0.57
2,34,0.348,5,1.023
0,25,0.154,1,0.525
1,10,0.156,1,0.478
6,22,0.291,7,0.834
6,16,0.208,0,0.535
4,16,0.215,2,0.635
2,3,0.047,0,0.155
0,2,0.067,0,0.31
4,10,0.231,0,0.634
2,11,0.239,1,0.643
8,22,0.281,0,0.712
2,21,0.225,0,0.593
0,17,0.202,0,0.521
0,12,0.27,1,0.812
0,0,0.333,0,0.667
1,2,0.222,1,0.717
2,20,0.215,1,0.617
1,1,0.182,0,0.399
7,22,0.252,1,0.694
2,30,0.258,0,0.707
1,14,0.2,1,0.693
3,13,0.307,0,0.788
6,34,0.291,0,0.728
3,21,0.162,0,0.471
2,9,0.171,1,0.548
2,17,0.166,1,0.529
2,49,0.261,1,0.705
1,20,0.305,0,0.8
5,17,0.233,1,0.663
5,52,0.254,2,0.732
4,14,0.178,0,0.451
1,26,0.264,0,0.625
0,4,0.209,0,0.55
3,12,0.201,0,0.538
2,26,0.3,0,0.765
0,33,0.243,0,0.671
1,27,0.201,0,0.559
0,16,0.182,5,0.611
6,56,0.282,3,0.826
1,8,0.224,0,0.579
1,3,0.368,1,0.994
1,12,0.226,0,0.584
1,18,0.328,3,0.97
2,18,0.215,5,0.778
7,34,0.244,0,0.646
3,21,0.122,2,0.442
3,9,0.163,4,0.456
0,38,0.317,0,0.82
7,39,0.28,8,0.855
4,23,0.234,3,0.644
2,15,0.209,2,0.6
3,29,0.241,0,0.617
0,10,0.204,0,0.558
2,12,0.171,0,0.508
1,9,0.218,0,0.521
1,6,0.173,0,0.437
1,14,0.226,0,0.588
0,43,0.235,4,0.78
7,11,0.248,0,0.625
3,22,0.164,0,0.486
1,9,0.059,0,0.332
4,7,0.225,1,0.55
5,9,0.298,0,0.818
1,16,0.188,0,0.552
3,20,0.202,1,0.666
2,5,0.221,1,0.548
2,10,0.245,0,0.599
4,17,0.232,2,0.652
6,15,0.222,4,0.645
0,23,0.205,0,0.594
3,6,0.238,0,0.582
1,14,0.162,3,0.516
6,24,0.191,0,0.531
2,38,0.305,4,0.867
6,11,0.157,2,0.449
2,31,0.336,1,0.906
0,4,0.188,0,0.646
0,1,0.286,0,0.661
6,12,0.297,0,0.696
3,15,0.195,0,0.509
2,12,0.294,2,0.848
1,5,0.19,0,0.469
0,1,0.188,0,0.4
0,5,0.167,0,0.465
0,29,0.252,0,0.709
3,5,0.31,0,0.813
3,10,0.206,0,0.516
3,27,0.206,2,0.61
2,11,0.21,0,0.571
1,19,0.202,0,0.569
3,22,0.254,2,0.678
1,10,0.171,1,0.513
3,2,0.141,1,0.433
0,25,0.311,0,0.826
4,17,0.15,3,0.469
3,49,0.338,3,0.97
1,14,0.196,1,0.605
1,13,0.222,0,0.577
0,11,0.147,1,0.415
6,25,0.188,3,0.626
1,23,0.255,2,0.691
2,1,0.222,0,0.501
2,15,0.255,2,0.775
0,4,0.172,0,0.445
3,9,0.176,0,0.533
3,13,0.317,0,0.807
0,10,0.204,0,0.528
1,22,0.26,0,0.71
0,0,0.167,0,0.667
1,16,0.161,1,0.475
0,9,0.152,0,0.447
0,9,0.227,0,0.543
2,13,0.125,0,0.431
4,34,0.179,0,0.526
3,27,0.316,2,0.816
4,7,0.172,0,0.481
3,23,0.255,0,0.67
5,25,0.123,0,0.376
0,3,0.213,0,0.565
3,22,0.292,0,0.738
7,13,0.194,1,0.469
5,17,0.25,2,0.665
4,5,0.241,0,0.56
0,4,0.211,1,0.653
6,6,0.212,0,0.538
2,25,0.246,5,0.74
3,5,0.26,4,0.667
0,5,0.098,0,0.31
0,8,0.321,1,0.764
2,30,0.281,3,0.776
0,1,0.191,0,0.396
2,30,0.296,1,0.785
4,13,0.237,0,0.6
4,32,0.325,0,0.809
8,26,0.288,2,0.756
9,15,0.25,1,0.637
3,7,0.314,0,0.844
0,24,0.327,0,0.797
1,2,0.167,0,0.399
0,1,0.333,0,1.5
2,19,0.25,2,0.728
9,20,0.23,1,0.6
3,17,0.162,0,0.475
1,14,0.253,1,0.693
2,5,0.2,1,0.58
3,20,0.273,0,0.703
1,2,0.178,0,0.455
2,9,0.097,0,0.346
3,25,0.238,2,0.646
1,2,0.171,0,0.44
7,19,0.302,1,0.752
0,25,0.193,1,0.532
1,29,0.335,0,0.844
4,5,0.295,1,0.731
4,15,0.22,0,0.582
1,3,0.192,0,0.531
2,18,0.303,5,0.846
1,24,0.291,1,0.772
1,25,0.286,0,0.767
0,0,0.357,0,0.829
2,36,0.244,0,0.727
1,0,0.167,0,0.333
0,33,0.301,3,0.81
4,11,0.247,0,0.646
2,9,0.253,3,0.737
2,54,0.319,3,0.914
7,17,0.219,1,0.587
10,12,0.203,1,0.514
1,16,0.235,0,0.629
4,13,0.189,0,0.493
0,10,0.099,0,0.351
1,5,0.25,1,0.715
4,12,0.235,2,0.603
1,9,0.071,0,0.362
2,12,0.219,0,0.556
4,20,0.263,0,0.67
2,27,0.258,1,0.717
2,10,0.238,1,0.611
5,6,0.262,1,0.665
8,21,0.247,1,0.716
4,21,0.265,0,0.628
2,21,0.288,1,0.746
0,21,0.27,0,0.714
2,8,0.304,1,0.715
1,25,0.338,1,0.88
4,31,0.284,0,0.765
1,13,0.277,2,0.722
2,17,0.236,1,0.645
1,22,0.252,0,0.65
1,5,0.269,2,0.693
