Date,Opponent,Score,gs,min,off,def,reb,ast,to,a/to,stl,blk,pf,dq
Nov 2,Calvin,"L, 65-56",1,24,1,7,8,0,1,0.0,1,1,3,0
Nov 9,at Cedarville,"L, 59-51",-,18,0,3,3,0,2,0.0,1,2,4,0
Nov 10,Kentucky State,"W, 62-58",1,26,1,4,5,0,2,0.0,1,2,1,0
Nov 17,at Indianapolis,"L, 72-53",1,20,0,6,6,0,1,0.0,0,0,1,0
Nov 29,at Lake Erie,"W, 72-61",-,-,-,-,-,-,-,-,-,-,-,-
Dec 1,at Ashland,"L, 72-62",-,-,-,-,-,-,-,-,-,-,-,-
Dec 6,Ohio Dominican,"W, 69-56",-,-,-,-,-,-,-,-,-,-,-,-
Dec 8,Tiffin,"W, 61-51",-,-,-,-,-,-,-,-,-,-,-,-
Dec 15,at Findlay,"W, 68-66",-,-,-,-,-,-,-,-,-,-,-,-
Dec 17,at Hillsdale,"W, 76-63",-,-,-,-,-,-,-,-,-,-,-,-
Jan 3,Malone,"W, 54-53",-,-,-,-,-,-,-,-,-,-,-,-
Jan 5,Walsh,"W, 77-59",-,-,-,-,-,-,-,-,-,-,-,-
Jan 10,Michigan Tech,"L, 60-46",-,-,-,-,-,-,-,-,-,-,-,-
Jan 12,Northern Michigan,"W, 47-46",-,-,-,-,-,-,-,-,-,-,-,-
Jan 17,at Northwood,"L, 70-46",-,-,-,-,-,-,-,-,-,-,-,-
Jan 19,at Lake Superior State,"W, 74-71",-,-,-,-,-,-,-,-,-,-,-,-
Jan 24,Wayne State,"L, 81-68",-,-,-,-,-,-,-,-,-,-,-,-
Jan 26,at Saginaw Valley State,"L, 73-70",-,-,-,-,-,-,-,-,-,-,-,-
Feb 2,Grand Valley State,"L, 83-73",-,-,-,-,-,-,-,-,-,-,-,-
Feb 7,at Michigan Tech,"L, 68-49",-,-,-,-,-,-,-,-,-,-,-,-
Feb 9,at Northern Michigan,"W, 73-70",-,-,-,-,-,-,-,-,-,-,-,-
Feb 14,Northwood,"W, 69-57",-,-,-,-,-,-,-,-,-,-,-,-
Feb 16,Lake Superior State,"W, 72-60",-,-,-,-,-,-,-,-,-,-,-,-
Feb 21,at Wayne State,"L, 80-61",-,-,-,-,-,-,-,-,-,-,-,-
Feb 23,Saginaw Valley State,"L, 71-66",-,-,-,-,-,-,-,-,-,-,-,-
Mar 2,at Grand Valley State,"L, 70-59",-,-,-,-,-,-,-,-,-,-,-,-
Mar 6,at Wayne State,"L, 68-59",-,-,-,-,-,-,-,-,-,-,-,-
