Team,Score,Overs,Ext,b,lb,w,nb,Opposition,Ground,Match Date,Scorecard
Sebast CAC,200/7,20.0,36,1,10,25,0,v Col CC,Colombo (Colts),2 Mar 2007,T20
W Province,173/3,20.0,26,0,1,25,0,v KZ-Natal,Cape Town,25 Jan 2014,T20
Super Kings,187/6,18.5,24,0,0,24,0,v Titans,Ranchi,22 Sep 2013,T20
Warwickshire,202/5,20.0,37,8,5,24,0,v Northants,Northampton,24 Jun 2003,T20
South Africa,208/2,17.4,28,0,4,23,1,v West Indies,Johannesburg,11 Sep 2007,T20I # 20
Jamaica,126/1,17.4,25,0,2,23,0,v Leeward Is,Bridgetown,22 Jul 2010,T20
M. Pradesh,188/5,19.0,28,2,2,23,1,v U. Pradesh,Jaipur,20 Oct 2010,T20
Lancashire,164/8,20.0,30,0,7,23,0,v Derbyshire,Manchester,29 Jun 2005,T20
Melb Stars,200/5,20.0,31,3,5,22,1,v Syd Sixers,Sydney,29 Dec 2013,T20
Central D,220/4,19.0,26,1,2,21,2,v Otago,Dunedin,27 Jan 2006,T20
Griq West,140,19.3,27,2,4,21,0,v Gauteng,Kimberley,26 Jan 2014,T20
Griq West,107/4,16.4,25,3,2,20,0,v Boland,Kimberley,21 Dec 2014,T20
Syd Thunder,166/6,20.0,24,1,3,20,0,v Syd Sixers,Sydney,21 Dec 2013,T20
Basnahira S,131/4,14.2,19,0,0,19,0,v SLC Comb XI,Pallekele,28 Feb 2010,T20
Wolves,106/3,15.3,21,1,1,19,0,v Leopards,Karachi,5 Mar 2010,T20
Lahore Lions,190/9,18.0,36,0,3,19,2,v K Dolphins,Lahore,25 Apr 2005,T20
Badureliya,162/5,19.4,21,0,2,19,0,v Nondescripts,Colombo (SSC),28 Mar 2012,T20
Hawks,169/4,20.0,25,0,2,19,4,v Zebras,Lahore,5 Oct 2008,T20
Kochi,178/7,20.0,23,0,4,19,0,v Kings XI,Indore,13 May 2011,T20
Jharkhand,148/7,20.0,23,0,4,19,0,v Assam,Agartala,21 Mar 2013,T20
Sri Lanka,198/5,20.0,26,0,7,19,0,v Bangladesh,Pallekele,31 Mar 2013,T20I # 312
Surrey,142/5,18.0,21,0,3,18,0,v Sussex,The Oval,15 Jun 2008,T20
Tallawahs,158/6,19.4,19,0,1,18,0,v Red Steel,Basseterre,13 Aug 2014,T20
Zebras,185/5,20.0,26,0,4,18,4,v L Eagles,Lahore,27 Apr 2005,T20
PCA XI,138/9,20.0,24,0,4,18,2,v Wolves,Leicester,17 Sep 2005,T20
St Lucia,134/8,20.0,22,0,4,18,0,v Cayman Is,Coolidge,26 Jan 2008,T20
Royals,197/1,20.0,26,1,6,18,1,v RCB,Jaipur,17 May 2008,T20
Middlesex,200/6,20.0,20,1,1,18,0,v Essex,Lord's,13 Jun 2010,T20
KKR,190/9,20.0,26,0,3,18,5,v Royals,Mumbai (BS),16 May 2015,T20
