sb,h,e,avg,hr,gdp,rbi,bb
0,6,0,0.306,0,2,3,4
2,9,2,0.313,0,0,3,4
0,6,2,0.315,0,1,3,5
2,4,0,0.295,0,0,0,2
2,16,0,0.298,0,0,8,1
0,12,6,0.295,0,2,3,1
3,13,0,0.326,1,1,7,1
0,4,0,0.292,1,0,1,3
2,7,2,0.311,0,0,4,3
0,13,2,0.316,0,0,11,5
1,11,2,0.313,0,0,8,5
1,9,1,0.294,0,1,2,2
0,15,0,0.317,1,2,17,11
0,8,0,0.316,0,0,5,1
0,6,1,0.295,0,0,6,9
3,13,1,0.326,1,1,11,6
2,10,2,0.32,0,0,5,2
1,7,1,0.315,0,0,3,3
3,11,0,0.325,0,0,4,2
5,11,1,0.298,0,0,7,5
0,4,0,0.301,1,0,2,1
0,7,2,0.326,0,1,2,3
2,16,2,0.318,2,1,9,3
1,11,1,0.317,1,0,4,1
0,15,2,0.33,0,0,12,4
2,9,2,0.304,1,0,8,8
