ch,Product Name,Output Current,VIN Min.,VIN Max.,VOUT Min.*1,VOUT Max.*1,Voltage Accuracy *1,Dropout Voltage Typ.*2,Dropout Voltage Max.*2,Dropout Voltage Condition *2,Supply Current Typ.*3,RR @1kHz Typ.,Capacitor Capacitance,Other Features ?,Package
1,﻿Rx5RL,25 to 80mA,-,10.0V,2.0V,6.0V,±2.5%,0.04V,0.06V,IOUT=1mA,1µA,-,0.1µF to 2.2µF, ,SOT-23-5 SOT-89
1,Rx5RW,35 to 80mA,-,8.0V,1.5V,6.0V,±2%,0.04V,0.06V,IOUT=1mA,1.5µA,-,0.1µF to 2µF, ,SON1612-6 SC-82AB
1,R1100D,35 to 100mA,-,6.0V,0.9V,4.0V,±2%,0.025V,0.050V,IOUT=1mA,1.5µA,-,0.1µF or more, ,SON1408-3
1,RN5RT,40 to 100mA,-,8.0V,2.0V,6.0V,±2%,0.3V,0.5V,IOUT=40mA,4µA,-,0.1µF to 2.2µF, ,SOT-23-5
1,R1515x,50mA,4.0V,36.0V,2.0V,12.0V,±2%,0.20V,0.35V,IOUT=20mA VSET=5.0V,9µA,-,0.1µF to 10µF,Operating Temp.: -40 to 105°C Thermal,SOT-89-5 HSOP-6J
1,RH5RE,60 to 120mA,-,10.0V,2.0V,6.0V,±2.5%,0.5V,0.7V,IOUT=30mA,1.1µA,-,0.1µF to 2.2µF, ,SOT-89
1,Rx5RZ,100mA,-,8.0V,2.0V,6.0V,±2%,0.2V,0.3V,IOUT=60mA,20µA,55dB,10µF or more,Tantalum,SOT-23-5 SOT-89
1,R1141Q,120mA,2.2V,6.0V,1.5V,4.0V,±1.5%,0.18V,0.28V,IOUT=120mA,90µA,70dB,1µF to 2.2µF or more,⇒RP109x,SC-82AB
1,RP103x,150mA,1.7V,5.25V,1.2V,3.3V,±1%,0.21V,0.27V,IOUT=150mA,36µA,75dB,0.47µF or more,TempChar: Typ. ±30ppm/°C ⇒RP109x,DFN(PLP) 1010-4 SC-82AB SOT-23-5
1,RP104x,150mA,1.7V,5.25V,1.2V,3.3V,±0.8%,0.24V,0.32V,IOUT=150mA,1µA,-,0.1µF or more,TempChar: Typ. ±40ppm/°C ⇒RP110x,DFN(PLP) 1010-4 SOT-23-5
