USG%,GmSc,ORB%,Age
0.0,0.7,0.0,30-177
18.3,2.0,0.0,30-210
25.0,5.0,50.5,30-150
21.2,1.6,10.9,30-145
14.8,10.3,0.0,30-068
21.1,7.4,0.0,30-194
17.3,2.6,0.0,30-223
9.9,3.5,6.1,30-075
12.4,2.2,0.0,30-063
23.6,1.9,29.1,30-208
12.5,1.1,11.1,30-079
20.0,5.7,24.2,30-089
18.1,3.0,11.9,30-179
17.1,3.5,0.0,30-109
11.7,0.3,0.0,30-117
11.7,9.2,0.0,30-149
25.5,3.4,13.4,30-084
26.5,9.6,5.7,30-164
18.3,-1.5,0.0,30-201
28.1,-1.2,18.6,30-132
22.2,7.6,22.7,30-218
25.8,4.2,0.0,30-220
10.5,-0.2,5.9,30-087
14.6,4.0,0.0,30-222
20.2,-0.5,0.0,30-072
23.2,1.0,18.4,30-196
17.7,0.4,0.0,30-217
19.2,3.8,8.7,30-187
5.9,2.0,0.0,30-138
46.0,1.7,0.0,30-170
27.3,-0.3,37.9,30-184
15.2,1.7,6.9,30-215
19.8,1.5,66.2,30-200
14.8,-0.4,0.0,30-136
17.0,3.3,10.9,30-054
18.5,2.0,15.0,30-168
26.9,11.5,18.7,30-173
18.0,1.7,8.6,30-123
20.6,0.0,5.4,30-212
17.0,8.5,21.3,30-108
