Compare,Carat,Color,Intensity,Clarity,Polish,Sym.,Flour.,Table,Depth,Price,Advanced » « Basic
Item Details Stock ID: 207915 Lab: GIA Certificate: 2145828660 Length: 6.35 Width: 5.58 Height: 3.95 Fancy Color: Yellow L/W Ratio: 1.138 L/W Ratio Shape: Rectangular You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.25,Yellow,Fancy, , , , , , ,"$4,640"
Item Details Stock ID: 283882 Lab: GIA Certificate: 1152315761 Length: 7.25 Width: 5.44 Height: 3.02 Fancy Color: Yellow Girdle: Extra Thick to Extra Thick L/W Ratio: 1.333 You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.0,Yellow,Fancy,SI1,Very Good,Good,None,58.0,55.4,"$4,640"
Item Details Stock ID: 289343 Lab: GIA Certificate: 5141575468 Length: 5.78 Width: 5.48 Height: 3.63 Fancy Color: Yellow Fluorescence Color: Blue Girdle: Slightly Thick to Very Thick L/W Ratio: 1.055 L/W Ratio Shape: Square You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.08,Yellow,Fancy,SI2,Very Good,Good,Medium,68.0,66.2,"$4,886"
Item Details Stock ID: 318240 Lab: GIA Certificate: 1152521026 Length: 7.36 Width: 5.4 Height: 3.5 Fancy Color: Yellow Fancy Overtone: Orangey L/W Ratio: 1.363 You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.01,Yellow,Fancy Deep, , , , , , ,"$4,686"
Item Details Stock ID: 331535 Lab: GIA Certificate: 2155246307 Length: 6.1 Width: 5.45 Height: 3.4 Fancy Color: Yellow L/W Ratio: 1.119 L/W Ratio Shape: Rectangular You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,0.94,Yellow,Fancy Intense, , , , , , ,"$4,540"
Item Details Stock ID: 391565 Lab: GIA Certificate: 2165878512 Length: 6.42 Width: 5.34 Height: 3.5 Fancy Color: Yellow Girdle: Thick to Extra Thick L/W Ratio: 1.202 L/W Ratio Shape: Rectangular You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.03,Yellow,Fancy,VVS1,Very Good,Good,Faint,62.0,65.5,"$4,738"
Item Details Stock ID: 393942 Lab: GIA Certificate: 2135502585 Length: 11.19 Width: 5.2 Height: 2.43 Fancy Color: Yellow Girdle: Thick to Extra Thick L/W Ratio: 2.152 You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.03,Yellow,Fancy,VS1,Good,Very Good,Faint,60.0,46.7,"$5,018"
Item Details Stock ID: 525173 Lab: GIA Certificate: 1162271219 Length: 6.2 Width: 5.3 Height: 3.36 Fancy Color: Yellow Girdle: Slightly Thick to Extra Thick L/W Ratio: 1.170 L/W Ratio Shape: Rectangular You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.0,Yellow,Fancy,VS2,Good,Good,None,60.0,63.4,"$4,600"
Item Details Stock ID: 579271 Lab: GIA Certificate: 1142714502 Length: 6.87 Width: 5.18 Height: 3.48 Fancy Color: Yellow Girdle: Medium to Very Thick L/W Ratio: 1.326 You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.01,Yellow,Fancy,VVS2,Very Good,Good,Faint,63.0,67.2,"$5,038"
Item Details Stock ID: 579922 Lab: GIA Certificate: 2165613608 Length: 5.54 Width: 5.36 Height: 3.67 Fancy Color: Yellow Girdle: Thick to Extra Thick L/W Ratio: 1.034 L/W Ratio Shape: Square You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.02,Yellow,Fancy,VS1,Good,Good,Faint,62.0,68.5,"$4,927"
Item Details Stock ID: 580203 Lab: GIA Certificate: 2165603142 Length: 5.71 Width: 5.39 Height: 3.98 Fancy Color: Yellow Girdle: Thick to Very Thick L/W Ratio: 1.059 L/W Ratio Shape: Square You will also receive: All Original Documentation Free Overnight Shipping 30-Day Money Back Guarantee Free Deluxe Gift Packaging View Item Add To Cart,Photo Avail.,1.12,Yellow,Fancy,VVS2,Good,Good,None,65.0,73.8,"$4,894"
