DRB%,G,Date
30.8,66,1988-04-05
6.1,36,1988-01-16
0.0,4,1987-11-12
8.6,33,1988-01-10
30.0,19,1987-12-12
10.3,34,1988-01-13
13.7,11,1987-11-27
18.6,10,1987-11-24
10.0,43,1988-02-01
29.6,28,1987-12-30
28.2,57,1988-03-15
31.9,39,1988-01-24
0.0,21,1987-12-15
0.0,20,1987-12-14
53.3,62,1988-03-26
0.0,12,1987-11-28
6.5,13,1987-12-01
9.4,26,1987-12-26
32.7,68,1988-04-09
0.0,14,1987-12-02
22.1,5,1987-11-13
8.4,23,1987-12-19
8.3,46,1988-02-11
31.4,41,1988-01-29
9.8,1,1987-11-06
0.0,3,1987-11-10
9.2,40,1988-01-26
16.6,71,1988-04-16
0.0,52,1988-03-01
26.7,31,1988-01-06
39.0,22,1987-12-17
20.0,25,1987-12-23
0.0,51,1988-02-26
26.1,16,1987-12-05
0.0,15,1987-12-04
0.0,18,1987-12-10
26.7,72,1988-04-19
24.6,56,1988-03-13
22.3,49,1988-02-17
17.8,48,1988-02-15
32.6,44,1988-02-04
11.5,60,1988-03-20
8.4,74,1988-04-24
10.7,8,1987-11-20
0.0,55,1988-03-09
