Year,League,Team,Games,Games batting,R,AB,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SH
1944,AL,St. Louis Browns,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1940,NL,New York Giants,1,1,0,1,0,0,0,0,0,0, ,0,0,0,0
1940,AL,St. Louis Browns,6,6,0,2,1,0,0,0,0,0,0.0,0,1,0,0
1940,AL,Washington Senators,8,8,0,10,1,0,0,0,0,0,0.0,0,4,0,2
1940,AL,Cleveland Indians,4,4,0,8,1,0,0,0,0,0,0.0,1,3,0,0
1939,AL,Cleveland Indians,27,27,1,48,9,1,0,1,4,0,0.0,3,16,1,3
1938,AL,Cleveland Indians,29,29,1,43,5,2,0,0,2,0,1.0,3,14,0,2
1937,AL,Cleveland Indians,35,35,8,59,10,2,0,0,5,1,0.0,5,17,0,5
1936,AL,Cleveland Indians,27,27,2,18,2,1,0,0,1,0,0.0,2,4,0,0
1935,AL,Cleveland Indians,37,37,10,86,24,7,0,1,8,0,0.0,6,19,0,1
1934,AL,Cleveland Indians,36,36,5,68,14,4,0,1,2,0,0.0,6,20,0,5
1933,AL,Cleveland Indians,34,34,1,41,6,0,0,1,3,0,0.0,2,13,1,5
1932,AL,Cleveland Indians,33,33,10,64,13,2,0,0,10,0,0.0,6,14,2,3
1931,AL,Cleveland Indians,44,44,11,100,20,6,2,0,13,0,0.0,6,28,0,2
1930,AL,Cleveland Indians,37,37,6,73,16,1,0,0,6,0,0.0,5,16,2,3
1929,AL,Cleveland Indians,40,40,5,97,19,3,0,0,4,1,0.0,1,18,1,8
1928,AL,Cleveland Indians,42,42,4,72,14,4,0,0,5,0,0.0,4,17,1,2
1927,AL,Cleveland Indians,43,43,12,96,24,5,1,1,6,0,0.0,1,22,0,6
1926,AL,Cleveland Indians,8,8,0,8,1,1,0,0,0,0,0.0,1,2,0,1
