Year,Age,Lg,Tm,PA,AB,Walk Rate,Strikeout Rate,BB/K Ratio,Contact Rate,BABIP,Isolated Power
2005,22.0,AA,FRI,264,238,7.6%,16.3%,0.47,82%,0.232,0.101
2006,23.0,AA,FRI,147,113,14.3%,15%,0.95,81%,0.292,0.115
2006,23.0,AA,BIN,15,12,6.7%,26.7%,0.25,67%,0.25,0.0
2006,23.0,AA,FRI,147,113,14.3%,15%,0.95,81%,0.292,0.115
2007,24.0,AA,BIN,237,212,7.6%,15.6%,0.49,83%,0.259,0.061
2008,25.0,AA,BIN,59,51,11.9%,11.9%,1.0,86%,0.209,0.079
2008,25.0,AAA,NEW,184,163,7.6%,22.8%,0.33,74%,0.277,0.092
2009,26.0,AA,BIN,67,55,13.4%,13.4%,1.0,84%,0.217,0.018
2009,26.0,AAA,BUF,7,6,14.3%,42.9%,0.33,50%,0.0,0.0
2010,27.0,AA,BIN,318,265,15.4%,13.5%,1.14,84%,0.323,0.113
2010,27.0,AAA,BUF,29,28,3.4%,24.1%,0.14,75%,0.286,0.036
2010,27.0,MAJ,NYM,10,10,0%,50%,0.0,50%,0.4,0.0
2011,28.0,AAA,BUF,192,168,8.3%,14.1%,0.59,84%,0.245,0.09
2011,28.0,MAJ,NYM,59,53,6.8%,18.6%,0.36,79%,0.22,0.075
2012,29.0,AAA,BUF,75,66,8%,12%,0.67,86%,0.411,0.136
2012,29.0,MAJ,NYM,122,109,6.6%,22.1%,0.3,75%,0.222,0.055
2013,30.0,AAA,BUF,200,175,8.5%,20%,0.43,77%,0.209,0.085
2014,31.0,AAA,BUF,177,150,10.2%,16.9%,0.6,80%,0.239,0.073
3-Year Averages, , , ,122,109,6.6%,22.1%,0.3,75%,0.222,0.055
Career, , , ,191,172,6.3%,22.5%,0.28,75%,0.228,0.058
