Date,USG%,Opp,ORB%,Age,GS,STL%,TRB%
2004-04-09,12.2,GSW,0.0,25-036,1,0.0,2.5
2004-03-03,7.7,DAL,0.0,24-365,1,0.0,3.0
2003-12-05,6.1,SAC,0.0,24-276,1,1.6,5.2
2004-04-12,10.3,UTA,0.0,25-039,1,0.0,0.0
2003-11-05,8.8,SAC,25.2,24-246,1,0.0,12.2
2003-11-26,9.1,NYK,0.0,24-267,1,0.0,2.7
2004-02-19,2.8,SAC,0.0,24-352,1,0.0,3.1
2004-03-09,5.5,SEA,6.7,25-005,1,0.0,5.3
2004-03-14,16.2,POR,6.6,25-010,1,0.0,7.0
2004-01-21,10.0,TOR,0.0,24-323,1,2.0,5.2
2004-03-10,12.4,POR,0.0,25-006,1,0.0,4.8
2004-01-19,12.1,NOH,0.0,24-321,1,0.0,2.7
2004-03-24,15.2,DEN,10.5,25-020,1,0.0,6.8
2004-01-10,9.9,MIA,6.1,24-312,1,0.0,11.3
2003-12-03,10.5,PHO,0.0,24-274,1,2.3,9.6
2003-12-07,6.7,LAC,3.7,24-278,1,4.6,7.1
2003-11-22,16.0,LAC,0.0,24-263,1,0.0,3.5
2003-11-11,9.1,SEA,5.7,24-252,0,0.0,3.0
2003-12-23,10.4,NYK,0.0,24-294,1,0.0,2.0
2004-03-23,10.0,SAS,6.2,25-019,1,0.0,7.0
2004-01-28,12.4,GSW,0.0,24-330,1,0.0,3.0
2003-12-27,10.0,SEA,5.4,24-298,1,0.0,13.3
2003-12-16,4.9,HOU,12.0,24-287,1,0.0,8.9
2003-12-15,11.6,BOS,0.0,24-286,1,0.0,2.5
2004-01-13,11.6,NOH,5.6,24-315,1,0.0,6.3
2003-11-25,9.1,IND,7.6,24-266,1,2.1,6.0
2003-12-20,3.5,IND,0.0,24-291,1,0.0,9.4
2003-12-30,11.6,CHI,3.4,24-301,1,1.3,8.1
2004-02-17,12.8,PHO,3.9,24-350,1,3.0,6.9
2004-02-25,7.5,NJN,0.0,24-358,1,2.5,12.5
2004-01-23,7.5,DET,0.0,24-325,1,0.0,17.4
2004-02-29,9.8,PHI,6.1,24-362,1,0.0,11.1
2003-11-08,6.8,MIA,6.2,24-249,0,0.0,7.7
2004-02-22,7.5,SAS,0.0,24-355,1,0.0,4.9
2003-11-21,3.7,CLE,4.2,24-262,1,2.3,8.8
2004-03-05,8.0,HOU,0.0,25-001,1,0.0,2.9
2004-01-26,1.3,DEN,0.0,24-328,1,0.0,6.4
2004-04-08,21.2,SAC,0.0,25-035,1,3.1,6.4
2004-01-06,1.2,LAL,3.4,24-308,1,1.4,4.4
2003-11-01,0.0,TOR,0.0,24-242,0,0.0,0.0
2004-01-30,6.4,LAL,0.0,24-332,1,1.9,8.0
2004-03-21,10.8,DEN,12.2,25-017,1,0.0,12.0
2003-12-26,9.7,POR,3.5,24-297,1,0.0,7.2
2003-11-03,10.4,UTA,0.0,24-244,0,4.0,1.9
2003-11-29,12.0,DAL,0.0,24-270,1,0.0,4.1
2004-02-20,17.2,DET,0.0,24-353,1,2.4,4.7
2003-12-18,13.9,DAL,10.9,24-289,1,3.0,15.1
2004-03-19,8.6,PHO,4.1,25-015,1,2.0,8.3
2004-01-25,13.4,PHO,0.0,24-327,1,0.0,8.6
