Date,Pos,Wt,Co,Dist,Going,Cl,Jockey,Trainer,Winner,DB,Op,SP
15/4/2004,8/17,10-4,Chel,21f,Gd,A,T Doyle,P R Webber,Silver Charmer,10.56, ,25/1
27/3/2004,10/19,11-8,Newb,21f,Gd,A,T Doyle,P R Webber,Kentford Grebe,24.56,12/1,12/1
3/1/2004,8/11,11-11,Sand,16f,Gd,B,T Doyle,P R Webber,Kadara (IRE),22.31,14/1,12/1
29/12/2003,1/13,11-10,Newb,21f,Gd/Sft,D,T Doyle,P R Webber,Tisho, ,7/2,9/2
10/12/2003,1/18,11-3,Leic,16f,Gd,E,T Doyle,P R Webber,Tisho, ,4/1,7/2
27/11/2003,1/5,10-12,Taun,19f,Fm,C,T Doyle,P R Webber,Tisho, ,evs,10/11
6/11/2003,3/9,10-10,Towc,16f,Gd,E,T Doyle,P R Webber,Diamant Noir,25.0,5/1,11/2
17/3/2003,F,11-2,Here,17f,Gd/Fm,E,T Doyle,P R Webber,Poppet,100.0,9/4,2/1
22/2/2003,4/20,11-9,Hunt,16f,None,H,Mr M Baldock,P R Webber,Countess Camilla,12.0,8/1,12/1
3/2/2003,3/9,11-11,Font,18f,Sft,H,Mr M Baldock,P R Webber,Early Start,5.75,4/6,4/5
18/5/2002,1/17,11-0,Bang,17f,Sft,H,Mr M Baldock,P R Webber,Tisho, ,20/1,20/1
