Rk,Player,G,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,PTS
1,Jason Smith,30,5.8,10.1,0.579,5.8,10.0,0.585,0.0,0.1,0.0,5.1,6.7,0.77,10.1,1.9,0.5,1.6,16.8
2,Tyler Smith,28,3.8,9.3,0.412,2.6,5.6,0.459,1.3,3.7,0.34,1.8,2.6,0.676,3.3,2.2,1.3,0.1,10.7
3,Stuart Creason,30,3.9,5.9,0.67,3.9,5.9,0.67,0.0,0.0, ,2.4,3.4,0.696,5.5,1.0,0.4,2.1,10.2
4,Corey Lewis,30,3.5,8.2,0.433,2.5,5.4,0.472,1.0,2.8,0.357,2.0,2.7,0.732,4.2,4.5,2.0,0.2,10.1
5,Stephan Gilling,30,3.2,7.5,0.424,0.8,2.1,0.397,2.3,5.4,0.435,0.3,0.6,0.444,1.4,1.1,0.6,0.0,8.9
6,Tim Denson,30,2.5,6.4,0.385,1.6,4.0,0.403,0.9,2.4,0.356,2.6,3.4,0.757,2.8,1.8,1.2,0.0,8.4
7,Xavier Kilby,28,1.6,2.4,0.647,1.6,2.4,0.657,0.0,0.0,0.0,0.9,1.5,0.558,2.6,0.4,0.5,0.2,4.0
8,Alton Robinson,10,1.6,3.3,0.485,1.6,3.3,0.485,0.0,0.0, ,0.7,0.9,0.778,1.7,0.6,0.6,0.6,3.9
9,Freddy Robinson,26,0.7,1.8,0.396,0.7,1.4,0.472,0.1,0.5,0.167,0.8,1.2,0.733,1.4,0.7,0.3,0.1,2.4
10,Jarrel Smith,11,1.1,1.6,0.667,1.1,1.6,0.667,0.0,0.0, ,0.2,0.4,0.5,1.2,0.3,0.5,0.0,2.4
11,Mark Collins,3,0.3,1.0,0.333,0.3,1.0,0.333,0.0,0.0, ,0.0,0.0, ,0.0,0.0,0.0,0.0,0.7
12,Ronnie Aguilar,11,0.1,0.3,0.333,0.1,0.3,0.333,0.0,0.0, ,0.0,0.0, ,0.3,0.0,0.0,0.1,0.2
13,Jordan Surratt,19,0.0,0.1,0.0,0.0,0.0, ,0.0,0.1,0.0,0.2,0.4,0.375,0.3,0.2,0.0,0.0,0.2
