Rk,AST%,MP,Tm,ORtg,TS%,USG%,GS
53,8.5,26:24,CHA,71,.336,15.3,0
49,13.7,30:22,CHA,105,.607,20.4,0
32,0.0,17:10,CHA,97,.500,14.1,0
38,0.0,16:42,CHA,58,.286,22.0,0
36,19.7,25:05,CHA,105,.551,23.9,0
13,11.0,31:43,CHA,159,.759,13.9,0
1,7.1,21:41,CHA,131,.581,13.7,1
55,20.3,17:02,CHA,149,.667,14.8,0
19,26.4,12:52,CHA,156,.694,12.0,0
52,13.6,15:22,CHA,10,.000,12.3,0
15,0.0,9:18,CHA,43,.250,23.9,0
45,10.4,14:11,CHA,90,.333,8.8,0
46,22.1,19:41,CHA,128,.667,9.2,0
20,30.3,18:26,CHA,91,.595,20.4,0
43,0.0,16:05,CHA,105,.420,13.6,0
24,0.0,24:50,CHA,109,.635,16.7,0
47,0.0,18:04,CHA,72,.375,22.6,0
37,0.0,7:56,CHA,0,.000,11.4,0
42,0.0,1:49,CHA,200,1.000,54.7,0
18,0.0,10:29,CHA,0,.000,9.4,0
4,10.0,27:29,CHA,151,.875,19.4,1
9,9.2,25:14,CHA,108,.631,25.0,0
57,0.0,7:35,CHA, , ,0.0,0
22,0.0,7:06,CHA,107,.500,12.7,0
26,16.5,16:06,CHA,136,.670,31.6,0
41,21.1,16:40,CHA,68,.333,25.1,0
35,10.8,17:39,CHA,98,.571,21.1,0
