Acquired,Name,162WL%,RAR,Rrep,oWAR,Salary,Rfield
Free Agency,Lance Cormier,.500,-0,0,-0.0,"$1,200,000",0
Amateur Draft,Nathan Eovaldi,.500,0,0,0.0, ,0
Free Agency,Matt Guerrier,.500,1,0,0.1,"$1,500,000",0
Traded,Andre Ethier*,.505,24,17,1.9,"$9,500,000",4
Free Agency,Juan Uribe,.494,1,9,-0.6,"$5,295,910",5
Amateur Draft,A.J. Ellis,.500,4,3,0.7,"$421,000",-3
Amateur Free Agent,Kenley Jansen#,.500,0,0,0.0,"$416,000",0
Amateur Free Agent,Ramon Troncoso,.500,0,0,-0.0, ,0
Amateur Draft,Dee Gordon*,.500,7,7,0.9, ,-3
Amateur Draft,Clayton Kershaw*,.504,6,0,0.6,"$500,000",0
Traded,Casey Blake,.501,9,7,0.6,"$5,500,000",3
Traded,Ted Lilly*,.497,-4,0,-0.5,"$8,166,666",0
Free Agency,Tony Gwynn*,.507,21,11,0.5,"$675,000",15
Free Agency,Jay Gibbons*,.498,-0,2,0.0,"$650,000",-1
Traded,Tim Federowicz,.501,2,0,-0.0, ,2
Amateur Draft,James Loney*,.506,27,18,1.5,"$4,875,000",11
 ,Team Total,.503,200,179,18.0,"$103,785,477",4
Free Agency,Juan Castro,.498,-2,0,-0.0, ,-2
Free Agency,Eugenio Velez#,.496,-5,1,-0.7, ,1
Traded,Blake Hawksworth,.500,0,0,0.0,"$426,000",0
Amateur Draft,Jonathan Broxton,.500,0,0,0.0,"$7,000,000",0
Amateur Draft,Russ Mitchell,.496,-4,2,-0.4, ,-1
Amateur Draft,Matt Kemp,.538,79,21,8.6,"$7,100,000",-5
Amateur Draft,Josh Lindblom,.500,0,0,0.0, ,0
Purchased,Juan Rivera,.500,8,8,0.7, ,0
Free Agency,Jamey Carroll,.497,11,16,2.6,"$2,285,677",-15
Amateur Draft,Chad Billingsley,.502,3,0,0.3,"$6,275,000",0
Free Agency,Vicente Padilla,.500,0,0,0.0,"$2,000,000",0
