#,Trk,Code,Station Name,Arrives,Avg,Departs,Day#,Km,Speed,Elev,Zone,Address
1.0,/==/,RNC,Ranchi Junction, ,-,14:45,1,-162.2,51,632m,SER,"Div HQ SER, Jharkhand"
1.1,/==/,NKM,Namkom,14:50,-,14:50,1,-158.0,51,618m,SER,"Ranchi, Jharkhand"
1.2,/-=/,TIS,Tatisilwai,14:58,-,14:58,1,-151.4,51,612m,SER,"Tatisilwai, Jharkhand"
1.3,/--/,GAG,Gangaghat,15:07,-,15:07,1,-143.7,51,543m,SER,"State Highway 2, Jharkhand"
1.4,/--/,KWKC,Kherwa Kocha,15:17,-,15:17,1,-134.6,51,454m,SER,"lepsar, Jharkhand"
1.5,/--/,JON,Jonha,15:19,-,15:19,1,-133.1,51,470m,SER,"Johna, Jharkhand"
1.6,/=-/,KITA,Kita,15:39,-,15:39,1,-116.3,51,323m,SER,"State Highway 2, Jharkhand"
1.7,/==/,SLF,Silli,15:48,-,15:48,1,-108.6,51,269m,SER,"Ranchi, Jharkhand"
2.0,/==/,MURI,Muri Junction,15:55,-,16:00,1,-102.5,53,254m,SER,"06522-222444, Jharkhand"
2.1,/==/,THO,Tulin,16:06,-,16:06,1,-97.3,53,267m,SER,"DIST - PURULIYA - 723212, West Bengal"
2.2,/==/,JAA,Jhalida,16:15,-,16:15,1,-89.7,53,297m,SER,"Jhalida, West Bengal"
2.3,/==/,BKDR,Begunkodar,16:21,-,16:21,1,-84.5,53,308m,SER,"SH 4A, West Bengal"
2.4,/==/,KSX,Kotshila Junction,16:28,-,16:28,1,-78.1,53,312m,SER,"Purulia District, West Bengal"
2.5,/==/,DRGU,Damru Ghutu,16:34,-,16:34,1,-72.8,53,291m,SER,"Anandnagar Rd, West Bengal"
2.6,/==/,PNW,Pundhag,16:41,-,16:41,1,-66.5,53,291m,SER,"Dist - Puruliya -723215, West Bengal"
2.7,/==/,RDF,Radhagaon,16:53,-,16:53,1,-56.4,53,247m,SER,"Pundag Railway Station Rd, Jharkhand"
3.0,/==/,BKSC,Bokaro Steel City,17:00,-,17:05,1,-49.9,27,245m,SER,"06542-253861, Jharkhand"
3.1,/==/,BKSN,Bokaro North Cabin,17:11,-,17:11,1,-47.1,27,239m,SER,"Bokaro Steel City, Jharkhand"
3.2,/==/,TKB,Tupkadih,17:20,-,17:20,1,-43.2,27,233m,SER,"Bokaro, Jharkhand"
3.3,%==/,RJB,Rajabera,17:30,-,17:30,1,-38.4,27,198m,ECR,"Station Rd, Jharkhand"
4.0,%==%,CRP,Chandrapura Junction,17:39,-,17:41,1,-34.3,41,227m,ECR,"06549-242555, Jharkhand"
4.1,/--/,DNH,Deonagar,17:45,-,17:45,1,-31.4,41,223m,SER,"Deonagar, Jharkhand"
4.2,/--/,DDGA,Dugda,17:48,-,17:48,1,-29.9,41,209m,SER,"Dugda, Jharkhand"
4.3,/=-/,JNNA,Jamuniatanr Halt,17:52,-,17:52,1,-27.1,41,182m,ECR,"National Highway 32, Jharkhand"
4.4,/==/,JMX,Jamuni,17:55,-,17:55,1,-24.6,41,204m,ECR,"Jamuni, Jharkhand"
5.0,/==/,PLJE,Phulwartanr,17:59,-,18:00,1,-22.1,26,219m,ECR,"Phulwartanr, Jharkhand"
5.1,/==/,BDQ,Budora,18:02,-,18:02,1,-21.2,26,210m,ECR,"Budora, Jharkhand"
5.2,/==/,TNO,Tundu,18:07,-,18:07,1,-19.3,26,198m,ECR,"Tundu, Jharkhand"
5.3,/==/,SZE,Sonardih,18:10,-,18:10,1,-17.8,26,197m,ECR,"Sonardih, Jharkhand"
5.4,/==/,TNJE,Tentulla,18:13,-,18:13,1,-16.3,26,196m,ECR,"Tentulla, Jharkhand"
6.0,/==/,KTH,Katrasgarh,18:19,-,18:21,1,-13.8,29,198m,ECR,"Katrasgarh, Jharkhand"
6.1,/==/,ANJE,Angarpathra Halt,18:25,-,18:25,1,-12.0,29,204m,ECR,"Angarpathra, Jharkhand"
