Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Junior Estrella,DSL,23,1,6,3,0,0,3,2,1,5,7,0.261,0.393,0.391,0.784
Luis Valenzuela,DSL,14,1,3,0,2,0,3,0,0,1,2,0.214,0.267,0.5,0.767
Alixon Suarez,DSL,104,18,25,5,1,2,15,1,1,21,17,0.24,0.385,0.365,0.75
Roberto Duncan,DSL,94,21,19,4,0,4,16,3,1,20,24,0.202,0.364,0.372,0.737
Manuel Margot,DSL,118,21,32,3,1,1,15,16,5,20,9,0.271,0.395,0.339,0.734
Robert Del Rosario,DSL,123,15,29,3,2,3,15,12,1,13,19,0.236,0.312,0.366,0.677
Raymel Flores,DSL,66,11,14,1,3,0,11,2,1,10,18,0.212,0.358,0.318,0.676
Aneudis Peralta,DSL,98,17,22,6,0,0,12,1,2,19,17,0.224,0.361,0.286,0.646
Andres Garcia,DSL,108,20,23,2,1,0,9,7,3,31,19,0.213,0.39,0.25,0.64
Pablo Urena,DSL,52,4,13,3,0,0,3,0,0,5,13,0.25,0.328,0.308,0.635
Anthony Amaya,DSL,91,14,20,7,0,1,10,5,3,5,16,0.22,0.29,0.33,0.62
Ricardo Andujar,DSL,66,7,12,1,1,0,3,5,3,9,15,0.182,0.316,0.227,0.544
Kevin Segovia,DSL,36,7,7,1,0,0,3,0,0,5,15,0.194,0.293,0.222,0.515
Osvaldo Almengo,DSL,44,3,8,1,0,0,5,0,0,5,14,0.182,0.275,0.205,0.479
Gregori Titts,DSL,30,3,3,0,0,0,0,0,0,7,11,0.1,0.27,0.1,0.37
Diory Paulino,DSL,8,0,1,0,0,0,0,0,0,0,3,0.125,0.125,0.125,0.25
