DRB%,ORtg,TRB%,Date,TS%,MP
0.0,0,0.0,2001-02-21,.000,3:00
20.7,61,11.0,2001-03-04,.500,16:00
40.3,97,34.7,2000-11-02,.307,21:00
26.7,108,13.8,2000-11-25,.347,20:00
30.0,65,23.4,2001-01-15,.000,8:00
15.2,95,12.1,2001-01-17,.250,36:00
19.0,129,9.9,2000-12-30,.667,21:00
0.0,26,0.0,2001-02-23,.000,8:00
19.7,202,16.2,2000-12-07,1.000,25:00
26.4,120,24.9,2000-12-19,.667,13:00
20.3,135,15.6,2001-01-12,.500,11:00
20.0,123,18.5,2000-12-01,.512,13:00
0.0,129,5.3,2000-10-31,.600,11:00
8.0,111,10.3,2001-04-18,.481,15:00
25.0,0,12.2,2001-03-23,.000,4:00
16.7,143,8.3,2001-02-28,.665,8:00
0.0,200,0.0,2001-03-09,1.000,4:00
27.4,0,12.0,2001-01-21,.000,5:00
34.2,0,19.6,2000-11-18,.000,18:00
14.4,204,13.9,2000-11-08,1.000,8:00
41.7,121,16.1,2001-01-02,.798,23:00
0.0,205,0.0,2000-12-16, ,13:00
0.0,0,0.0,2001-01-25,.000,3:00
16.4,174,14.5,2001-03-02,.833,20:00
16.5,105,9.7,2000-11-15,.500,11:00
19.5,133,16.1,2000-11-06,1.000,17:00
16.8,100,15.2,2001-04-08,.615,22:00
52.2, ,26.4,2001-01-29, ,4:00
0.0, ,0.0,2001-03-15, ,3:00
0.0, ,0.0,2000-12-05, ,3:00
25.2,178,24.6,2001-04-06,.820,13:00
0.0, ,0.0,2001-01-04, ,5:00
52.2,0,27.6,2001-03-18,.000,2:00
