Salary,RAA,162WL%,oWAR,RAR,waaWL%,Name,G,PA
 ,2,.501,0.1,9,.503,Mike Darr*,58,228
 ,-2,.499,-0.3,2,.496,Kevin Nicholson#,37,105
 ,-5,.497,-0.2,-4,.462,Greg LaRocca,13,30
 ,-0,.500,-0.0,-0,.499,Carlos Reyes,12,1
"$203,000",-0,.500,0.1,1,.500,David Newhan*,14,26
"$230,000",0,.500,0.0,0,.501,Will Cunnane,27,7
 ,-0,.500,-0.1,-0,.492,Rodrigo Lopez,6,9
 ,0,.500,0.0,0,.500,Matt Whiteside,28,0
"$4,583,333",8,.505,0.7,8,.525,Woody Williams,30,66
"$6,600,000",0,.500,0.0,0,.500,Trevor Hoffman,70,0
 ,0,.500,0.0,0,.501,Buddy Carlyle*,4,0
"$2,600,000",-3,.498,0.0,-1,.490,Chris Gomez,33,64
"$215,000",-0,.500,-0.0,-0,.499,Carlos Almanzar,62,3
"$250,000",0,.500,0.0,0,.500,Steve Montgomery,7,0
"$700,000",-5,.497,0.6,10,.497,Ruben Rivera,135,479
"$200,000",-3,.498,-0.3,-3,.465,Dusty Allen,9,14
"$600,000",-3,.498,-0.3,-3,.491,Matt Clement,34,69
"$830,000",0,.500,0.0,0,.505,Brian Boehringer#,7,5
 ,-2,.499,-0.2,-2,.488,Brian Tollberg,19,38
"$5,750,000",17,.510,3.6,35,.511,Ryan Klesko*,145,590
 ,0,.500,0.0,0,.500,Dave Maurer,14,0
"$6,300,000",0,.500,0.5,4,.500,Tony Gwynn*,36,140
 ,-6,.496,0.5,-0,.487,Desi Relaford#,45,189
 ,0,.500,0.0,0,.500,Tom Davey,11,0
"$875,000",26,.515,4.3,45,.517,Phil Nevin,143,605
"$370,000",-1,.499,0.9,18,.499,Eric Owens,145,636
"$450,000",0,.500,0.0,0,.500,Matt Whisenant,24,0
"$3,750,000",-13,.492,1.1,4,.490,Bret Boone,127,525
 ,-6,.496,-0.5,-5,.459,John Roskos,14,30
 ,-3,.498,-0.2,-2,.474,Gabe Alvarez,11,14
"$6,100,000",-4,.498,-0.4,-4,.468,Sterling Hitchcock*,11,23
 ,0,.500,0.1,0,.501,Kevin Walker*,70,4
"$230,000",0,.500,0.0,0,.500,Dan Serafini#,3,0
