oppOBP,#,LG,oppTAv,G,AB
0.318,78.0,AL,0.265,31,734
0.307,167.0,NL,0.253,21,490
0.32,111.0,AL,0.268,27,579
0.311,32.0,NL,0.254,30,544
0.321,109.0,AL,0.268,32,797
0.309,101.0,NL,0.254,24,424
0.315,131.0,AL,0.26,29,619
0.311,63.0,NL,0.254,32,775
0.315,81.0,AL,0.261,49,283
0.317,18.0,AL,0.265,32,748
0.312,1.0,NL,0.256,55,298
0.322,77.0,AL,0.268,24,533
0.32,112.0,AL,0.266,32,574
0.321,178.0,AL,0.268,24,586
0.318,71.0,AL,0.267,22,332
0.306,5.0,NL,0.25,32,805
0.316,141.0,NL,0.26,32,735
0.315,45.0,NL,0.256,35,445
0.313,121.0,AL,0.261,29,682
0.309,169.0,NL,0.254,49,341
0.313,136.0,NL,0.259,32,798
0.312,142.0,NL,0.257,33,822
0.309,99.0,NL,0.253,30,723
0.317,16.0,AL,0.265,13,328
0.309,135.0,NL,0.257,32,773
0.309,37.0,NL,0.254,19,415
0.316,116.0,AL,0.262,33,814
0.304,46.0,NL,0.25,33,799
0.321,104.0,AL,0.268,33,828
0.317,152.0,AL,0.265,29,726
0.316,86.0,NL,0.259,43,320
0.299,64.0,NL,0.247,14,299
0.318,94.0,NL,0.26,68,289
0.311,49.0,NL,0.254,30,714
0.315,146.0,AL,0.261,13,303
0.325,160.0,AL,0.272,33,764
0.309,44.0,NL,0.253,31,647
0.308,26.0,NL,0.254,33,750
0.314,11.0,AL,0.263,18,364
0.307,170.0,NL,0.252,33,769
0.314,51.0,NL,0.258,26,599
0.318,23.0,AL,0.267,27,707
0.318,7.0,AL,0.266,17,293
0.315,47.0,NL,0.258,20,432
0.312,125.0,NL,0.257,31,627
0.313,43.0,NL,0.256,27,577
0.311,139.0,NL,0.257,32,771
0.317,133.0,AL,0.264,24,521
0.311,85.0,NL,0.255,21,476
0.318,14.0,AL,0.268,76,271
0.314,173.0,NL,0.259,20,439
0.323,8.0,AL,0.27,16,344
0.306,55.0,NL,0.25,30,727
0.308,140.0,NL,0.253,31,702
0.313,177.0,AL,0.263,24,587
0.319,150.0,AL,0.268,33,762
0.312,138.0,NL,0.257,63,318
0.325,24.0,AL,0.272,22,527
0.316,179.0,AL,0.267,37,665
0.314,92.0,NL,0.257,17,380
0.306,3.0,NL,0.252,32,732
0.307,134.0,NL,0.253,31,734
0.309,50.0,NL,0.253,34,292
0.321,145.0,AL,0.269,22,546
0.306,163.0,NL,0.252,30,703
0.318,61.0,AL,0.266,30,731
0.319,59.0,AL,0.267,32,757
0.321,147.0,AL,0.268,34,563
0.313,126.0,NL,0.258,20,425
0.314,54.0,NL,0.258,31,832
0.312,68.0,NL,0.258,33,326
0.318,29.0,NL,0.26,74,282
0.31,34.0,NL,0.254,30,692
0.314,35.0,NL,0.258,30,357
0.309,52.0,NL,0.255,30,603
0.321,21.0,AL,0.266,32,584
0.316,79.0,AL,0.263,48,357
0.307,97.0,NL,0.255,20,364
0.321,75.0,AL,0.27,32,823
0.316,25.0,AL,0.264,27,551
0.314,36.0,NL,0.257,32,743
0.31,175.0,NL,0.254,22,544
0.324,157.0,AL,0.27,15,341
0.309,122.0,NL,0.253,31,742
0.31,93.0,NL,0.254,20,443
0.302,137.0,NL,0.249,23,367
0.317,13.0,AL,0.267,20,484
0.308,69.0,NL,0.251,24,507
0.308,174.0,NL,0.253,32,788
0.319,154.0,AL,0.268,29,616
0.308,33.0,NL,0.252,31,720
