Rk,ORtg,G,Age,ORB%,TOV%,MP
48,89,48,31-190,0.0,0.0,12:00
38,250,38,31-166,0.0,0.0,3:00
44,79,44,31-180,0.0,33.3,5:00
33,0,33,31-126,0.0,50.0,2:00
21,89,21,31-079,0.0,0.0,5:00
13,116,13,31-061,0.0,0.0,6:00
28,43,28,31-100,0.0,14.3,16:00
26,20,26,31-096,0.0,0.0,11:00
9,143,9,31-047,10.9,0.0,11:00
27,161,27,31-097,12.0,0.0,8:00
34,23,34,31-134,0.0,33.3,3:00
22,0,22,31-082,0.0,0.0,4:00
43,58,43,31-178,0.0,0.0,4:00
7,20,7,31-041,0.0,0.0,12:00
6,141,6,31-040,0.0,0.0,13:00
11,104,11,31-052,0.0,0.0,9:00
52,69,52,31-196,0.0,50.0,3:00
41,128,41,31-174,11.2,25.0,11:00
40,114,40,31-172,13.6,0.0,8:00
53,67,53,31-197,11.1,0.0,9:00
51,70,51,31-194,8.8,0.0,14:00
14,90,14,31-064,0.0,0.0,19:00
