CS,SB,AB,AVG,H,SO,3B,POS
0,0,88,.239,21,24,0,C
7,5,199,.206,41,81,1,OF
0,4,278,.295,82,77,0,1B
2,0,72,.181,13,17,1,C
4,4,278,.273,76,65,9,OF
0,0,133,.263,35,39,0,C
5,24,266,.353,94,54,2,OF
6,4,150,.293,44,43,2,OF
1,1,228,.355,81,46,2,1B
1,2,86,.256,22,29,0,OF
0,0,18,.222,4,3,0,C
1,4,105,.219,23,26,2,3B
0,8,237,.316,75,51,3,2B
5,10,269,.316,85,72,5,3B
2,1,159,.264,42,60,1,C
0,1,145,.234,34,43,0,SS
7,3,219,.288,63,52,4,2B
1,1,189,.333,63,44,1,1B
1,1,77,.260,20,19,0,2B
0,0,9,.000,0,6,0,OF
1,0,27,.296,8,5,0,DH
0,0,8,.375,3,3,0,2B
0,0,161,.292,47,37,0,3B
3,5,273,.271,74,85,3,3B
4,2,109,.257,28,38,0,3B
0,1,118,.212,25,27,0,3B
2,17,151,.238,36,54,3,2B
2,7,109,.275,30,30,0,SS
0,1,84,.310,26,19,0,RF
0,0,30,.200,6,4,0,C
1,5,121,.289,35,27,0,OF
4,4,269,.312,84,70,3,OF
0,0,58,.241,14,10,1,C
5,14,157,.242,38,51,2,OF
1,2,133,.226,30,24,1,SS
4,7,193,.326,63,72,3,OF
0,0,7,.000,0,3,0,C
0,1,127,.299,38,19,2,3B
0,0,0,--,0,0,0,P
4,5,137,.255,35,41,3,OF
5,11,60,.333,20,17,1,OF
2,3,138,.203,28,35,1,LF
1,2,58,.328,19,18,0,LF
1,6,161,.298,48,27,2,SS
0,0,39,.256,10,10,0,OF
3,7,330,.248,82,91,7,SS
7,24,157,.242,38,32,3,CF
1,3,195,.256,50,46,1,C
4,7,185,.254,47,57,3,LF
0,0,18,.111,2,5,0,OF
0,0,143,.308,44,34,1,1B
0,1,158,.253,40,81,2,C
0,0,207,.280,58,63,2,C
6,21,202,.257,52,85,3,OF
3,0,260,.262,68,61,2,SS
0,1,96,.354,34,30,1,RF
3,1,119,.244,29,37,1,OF
4,9,168,.238,40,41,1,CF
1,0,33,.182,6,9,0,OF
9,15,246,.248,61,68,3,OF
1,1,224,.348,78,43,4,SS
0,0,5,.400,2,1,0,OF
0,0,119,.286,34,42,0,1B
3,3,257,.319,82,48,7,RF
0,0,69,.217,15,21,0,3B
2,6,180,.300,54,64,3,OF
0,2,60,.200,12,9,1,2B
0,16,113,.265,30,26,2,SS
0,1,21,.476,10,2,0,2B
0,0,33,.273,9,6,1,OF
0,0,23,.217,5,2,0,1B
1,0,27,.259,7,8,0,C
5,14,176,.307,54,26,2,3B
1,1,157,.306,48,43,2,C
0,1,33,.303,10,6,1,SS
1,6,63,.254,16,17,1,2B
1,0,28,.286,8,11,0,C
1,2,189,.254,48,31,1,SS
0,0,0,--,0,0,0,P
6,13,246,.285,70,55,5,OF
0,1,107,.318,34,16,2,C
0,0,15,.267,4,2,0,C
3,1,215,.279,60,85,1,1B
2,6,115,.322,37,22,0,2B
2,3,90,.311,28,16,1,2B
0,2,215,.372,80,30,3,1B
1,1,69,.362,25,9,1,OF
