ORB,DRB,GP,MPG,BPG,APG,FTM
0.3,0.6,71,7.4,0.1,0.7,0.3
0.2,0.3,6,1.8,0.0,0.0,0.0
2.0,2.6,65,23.2,0.6,0.7,2.4
0.3,0.6,14,8.1,0.3,0.3,0.1
0.8,1.2,20,7.5,0.5,0.1,0.2
0.8,2.4,92,30.8,0.4,1.5,1.3
1.4,2.1,39,19.7,0.2,0.8,0.4
0.1,1.3,120,17.7,0.1,2.1,0.5
0.5,1.7,41,16.3,0.0,1.0,1.0
1.4,1.6,56,18.9,0.1,1.2,1.6
0.0,0.4,5,2.6,0.0,0.0,0.2
0.4,0.2,19,4.8,0.0,0.2,0.0
0.2,1.1,58,15.0,0.3,1.1,1.5
3.5,4.9,117,26.1,1.7,0.7,2.2
0.4,2.2,121,31.7,0.1,2.7,2.8
0.9,1.4,93,13.5,0.1,0.6,0.5
1.1,1.4,16,12.6,0.0,0.8,0.5
2.3,3.9,48,27.5,0.4,1.8,3.5
1.0,2.3,119,21.3,0.7,1.0,0.8
0.0,0.0,2,4.0,0.0,0.0,0.0
0.4,1.5,55,18.3,0.2,1.0,0.2
0.0,0.2,4,4.2,0.2,0.0,0.0
1.3,1.2,56,11.9,0.2,0.5,0.4
0.6,3.8,113,32.8,0.3,1.3,2.1
0.5,0.2,4,1.5,0.0,0.0,0.5
1.0,0.0,1,0.0,0.0,0.0,0.0
1.0,1.6,31,14.4,0.8,0.3,0.4
2.2,3.2,122,23.7,0.9,0.6,1.7
0.0,0.5,2,1.0,0.0,0.0,0.0
0.1,0.8,20,7.2,0.0,0.2,0.2
0.7,1.1,23,10.4,0.1,0.5,0.2
0.2,0.6,19,8.6,0.1,0.6,0.4
1.0,2.2,63,22.2,0.3,1.1,0.7
0.6,1.0,84,8.6,0.4,0.3,0.2
0.2,0.6,17,8.1,0.2,0.2,0.0
0.3,0.6,11,12.3,0.0,0.4,0.2
0.4,1.0,84,20.5,0.0,1.8,0.9
0.0,0.0,3,3.0,0.0,0.0,0.0
2.8,5.5,60,33.1,0.8,0.6,3.2
