Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Drew Hedman,PorSal,83,259,38,56,16,3,9,40,10,1,43,79,0.216,0.333,0.405,0.739
Dreily Guerrero,GreLow,59,219,24,56,10,0,0,20,11,5,18,65,0.256,0.311,0.301,0.613
Andres Garcia,DSL,69,245,46,55,7,4,0,26,14,9,56,37,0.224,0.373,0.286,0.658
Tony Thomas,Paw,68,223,35,54,10,2,10,30,12,1,22,64,0.242,0.308,0.439,0.747
Jose Colorado,LowGCL,59,205,33,54,17,1,1,30,16,7,31,44,0.263,0.365,0.371,0.735
Oscar Tejeda,Por,51,202,18,53,12,0,5,31,2,1,9,41,0.262,0.294,0.396,0.69
Jonathan Hee,PawPor,71,218,14,53,12,1,2,23,2,3,20,47,0.243,0.325,0.335,0.66
Aneudis Peralta,DSL,61,209,31,52,18,1,0,26,2,3,35,39,0.249,0.369,0.344,0.714
Ronald Bermudez,PawPor,64,201,20,51,10,2,2,17,5,2,9,40,0.254,0.29,0.353,0.643
Jake Davies,LowGCL,54,190,22,50,12,1,1,22,2,1,18,36,0.263,0.33,0.353,0.683
Matty Johnson,SalLow,60,202,35,50,10,1,1,18,9,6,26,36,0.248,0.333,0.322,0.655
Kolbrin Vitek,3 Teams,52,205,19,50,15,1,1,13,0,0,12,49,0.244,0.288,0.341,0.629
Andy LaRoche,Paw,51,182,23,48,15,0,7,25,1,1,18,24,0.264,0.338,0.462,0.8
David Chester,SalLow,50,189,27,47,9,0,10,33,1,2,23,44,0.249,0.33,0.455,0.785
Nick Moore,LowGCL,57,201,33,47,6,2,3,25,8,1,34,58,0.234,0.345,0.328,0.673
Jason Repko,PawGre,54,200,35,46,6,5,8,28,5,3,21,50,0.23,0.313,0.43,0.743
Anthony Amaya,DSL,62,198,28,46,11,1,2,21,10,9,22,38,0.232,0.343,0.328,0.672
Roberto Duncan,DSL,62,196,42,43,9,2,5,29,6,2,39,53,0.219,0.379,0.362,0.741
Matt Spring,PawPor,62,207,17,42,9,0,7,23,1,2,23,78,0.203,0.292,0.348,0.64
Nick Natoli,PorGre,73,209,31,42,13,0,1,14,8,0,42,50,0.201,0.341,0.278,0.619
Cleuluis Rondon,LowGCL,49,186,19,42,10,6,0,16,2,2,9,43,0.226,0.265,0.344,0.609
Zach Gentile,PorSal,49,159,22,41,10,0,0,20,4,1,18,23,0.258,0.343,0.321,0.663
Felix Sanchez,Sal,45,143,15,36,6,1,1,13,24,4,10,42,0.252,0.319,0.329,0.647
Raymel Flores,DSL,37,138,26,35,3,8,0,18,4,4,23,40,0.254,0.392,0.391,0.783
Ryan Kalish,3 Teams,33,132,21,35,6,0,5,15,8,3,17,34,0.265,0.347,0.424,0.771
