Opp,TOV%,BLK%,Tm,AST%,ORtg,TRB%,DRtg,GmSc
TOR,0.0,0.0,SEA,23.4,112,4.5,85,7.9
NYK,0.0,0.0,SEA,16.7,27,0.0,95,0.3
MEM, ,0.0,SEA,0.0, ,0.0,101,0.0
POR,33.3,0.0,SEA,29.4,44,3.9,103,0.2
LAC,100.0,0.0,SEA,0.0,0,0.0,103,-1.2
SAS,13.7,0.0,SEA,10.9,128,4.2,116,7.9
GSW,25.0,0.0,SEA,24.4,99,0.0,108,2.7
CLE,14.3,0.0,SEA,22.1,90,3.0,98,4.7
TOR,50.0,0.0,SEA,0.0,0,0.0,120,-1.7
UTA,25.0,0.0,SEA,15.2,63,5.6,132,0.3
CLE,100.0,0.0,SEA,18.0,104,4.9,131,-0.5
UTA,0.0,0.0,SEA,9.7,143,0.0,124,0.5
MEM,25.0,0.0,SEA,0.0,63,8.0,89,0.1
LAC,33.3,0.0,SEA,35.6,72,9.7,127,-0.8
DEN,33.3,0.0,SEA,0.0,67,0.0,103,-0.4
MEM,0.0,0.0,SEA,9.6,119,3.8,90,4.8
CHI,50.0,0.0,SEA,15.6,86,0.0,120,1.7
PHO,53.2,0.0,SEA,21.1,88,10.4,100,3.2
MIN,100.0,0.0,SEA,82.1,71,0.0,107,0.0
PHI, ,0.0,SEA,10.0,222,7.3,102,0.1
SAS,0.0,0.0,SEA,30.0,68,16.0,122,-0.1
MIA,33.3,0.0,SEA,24.3,132,2.5,110,4.0
