Rank,Sail No,Flags,Helm,Crew,Club,R1,R2,R3,R4,R5,Nt Pts
1,2833, ,Jeremy Hawkins,Suzanne Hawkins,Porthean S.C,(2),1,1,1,2,5
2,659, ,Nathan Batchelor,James Clark,Clevedon S.C,1,(33/DNF),2,2,5,10
3,2628,M,Malcolm Davies,Fiona Davies,Teign Corinthian YC,3,(33/DNF),3,3,1,10
4,2909,M,Howard Astley-Jones,Barney Proud,Mitlon Keynes S.C,(10),2,4,5,6,17
5,411,G,Rien Zilvold,Julie Nuttall,WYC,4,5,(6),6,3,18
6,363,G,Tim Knight,Mayumi Knight,Royal Lymington YC,6,(33/DNF),5,7,9,27
7,2640, ,John Lawton,Sam Richardson,Babbacombe Corinthian S.C,8,(33/DNF),9,9,10,36
8,2629,S,M Gibson,S Edwards,Clevedon S.C,(33/DNF),4,11,13,11,39
9,2801,M,Edward Lowes,Robert Spaughton,WYC,13,6,12,14,(16),45
10,2649,M,Russell Dent,Cecilia Dent,WYC,11,(33/DNF),10,11,13,45
11,2816,G,Neil Spacagna,Anne Panther,Babbacombe Corinthian S.C,5,(33/DNF),33/DNC,4,4,46
12,2875,M,Jon Bloice,Phillipa Bloice,WYC,9,(33/DNF),14,12,12,47
13,274,M,Steve Mitchell,Polly Newman,Porthean S.C,7,3,(33/DNC),33/DNC,8,51
14,2815, ,Robyn Stock,Connie Stock,Royal Lymington YC,(33/DNC),7,19,16,15,57
15,298,S,Constantyn Udo,Jan Slotemaker,WSV Rotterdam,(33/DNC),33/DNC,8,10,7,58
16,2153, ,Richard Ledger,Thomas Bruton,WYC,14,(33/DNF),15,15,17,61
17,2908,M,Stephen Nation,Elizabeth North,WYC,(33/DNF),33/DNF,7,8,14,62
18,652, ,Pete Muskett,Greg Wright,Royal Torbay YC,(33/DNC),33/DNC,17,18,19,87
19,611,M,Andrew Jackson,Yvonne Meredith,WYC,12,(33/DNF),13,33/DNF,33/DNC,91
20,688,M,Guy Hester,Lynne Bull,Babbacombe Corinthian S.C,(33/DNF),33/DNF,16,33/DNC,18,100
21,2877,M,Anthony Keam,Robin South,WYC,(33/DNC),33/DNC,18,17,33/DNF,101
22=,1270,M,Mark Fagg,Jon Dennis,WYC,(33/DNC),33/DNC,33/DNC,33/DNC,33/DNC,132
22=,1235,M,Andy Taylor,Jacqui Taylor,Largs SC,(33/DNC),33/DNC,33/DNC,33/DNC,33/DNC,132
22=,1309,M,Andy Clarke,Fiona CLarke,WYC,(33/DNC),33/DNC,33/DNC,33/DNC,33/DNC,132
22=,2643,S,Stephen Baker,Mei Baker,WYC,(33/DNC),33/DNC,33/DNC,33/DNC,33/DNC,132
22=,2521,Y,William Lowes,David Lowes,WYC,(33/DNC),33/DNC,33/DNC,33/DNC,33/DNC,132
22=,2804, ,Zanna Gooch,Emma Fisher,WYC,(33/DNC),33/DNC,33/DNC,33/DNC,33/DNC,132
22=,2522,M,Ian Butterworth,Sue Butterworth,Milton Keynes S.C,(33/DNC),33/DNC,33/DNC,33/DNC,33/DNC,132
22=,2639,S,Geoff Bush,Maureen Bush,WYC,(33/DNC),33/DNC,33/DNC,33/DNC,33/DNC,132
22=,660,M,Susan Howcroft,Gerrard Howcroft,Stewartby Water Sports Club,(33/DNC),33/DNC,33/DNC,33/DNC,33/DNC,132
22=,2576, ,Lionel Rigby,Ken Fobbester,Porthean S.C,(33/DNC),33/DNC,33/DNC,33/DNC,33/DNC,132
22=,2638,LM,Elizabeth Pescod,Roger Pescod,Littleton S.C,(33/DNC),33/DNC,33/DNC,33/DNC,33/DNC,132
