MP,Tm,TOV%,eFG%,ORB%,Rk,USG%
6:00,HOU,25.0,.667,21.1,9,28.3
6:00,HOU,50.0,.333,0.0,57,38.8
5:00,HOU,27.3,.750,19.6,32,54.5
18:00,HOU,43.6,.667,0.0,47,14.6
7:00,HOU,0.0,.500,0.0,4,15.9
4:00,HOU, , ,0.0,42,0.0
2:00,HOU,0.0,1.000,0.0,39,20.6
2:00,HOU,0.0,.000,0.0,26,39.6
7:00,HOU,0.0,.571,34.3,35,41.3
1:00,HOU, , ,0.0,1,0.0
19:00,HOU,20.7,.600,0.0,49,19.9
11:00,HOU,20.0,.250,8.7,51,17.5
1:00,HOU,0.0,1.000,0.0,25,38.0
7:00,HOU,25.8,1.000,0.0,38,24.5
14:00,HOU,0.0,.286,14.3,7,20.3
13:00,HOU,12.0,.667,7.0,13,27.7
15:00,HOU,0.0,.400,0.0,58,13.8
10:00,HOU,0.0,.500,0.0,45,24.7
9:00,HOU,12.5,.286,14.4,54,35.6
12:00,HOU,0.0,.667,0.0,23,13.1
12:00,HOU,14.5,.200,14.3,17,22.4
5:00,HOU, , ,0.0,33,0.0
16:00,HOU,0.0,.500,16.1,50,15.0
5:00,HOU,0.0,1.000,20.4,16,15.7
4:00,HOU,0.0,.000,0.0,20,9.7
11:00,HOU,51.0,.500,0.0,6,22.0
13:00,HOU,0.0,.667,0.0,21,9.0
5:00,HOU,0.0,.000,0.0,12,16.5
15:00,HOU,9.1,.500,5.7,43,29.2
4:00,HOU,15.5,.200,0.0,30,62.6
11:00,HOU,33.3,.250,0.0,53,23.5
