Date,Pos,Wt,BHA,Co,Dist,Going,Cl,Jockey,Trainer,Winner,DB,Op,SP
14/9/2011,6/10,9-2,99.0,Yarm,10f,Gd,1.0,R Mullen,Sir Michael Stoute,Principal Role (USA),8.5,9/1,10/1
29/7/2011,8/10,8-11,104.0,Good,12f,Gd/Fm,1.0,R L Moore,Sir Michael Stoute,Drunken Sailor (IRE),10.94,22/1,22/1
12/5/2011,6/8,8-12,106.0,York,10f,Gd,1.0,R L Moore,Sir Michael Stoute,Midday,12.0,12/1,14/1
23/4/2011,4/6,8-11,106.0,Sand,10f,Gd,1.0,R L Moore,Sir Michael Stoute,Kings Gambit (SAF),4.56,11/2,9/2
3/10/2010,7/11,8-11,102.0,Long,9f,Sft, ,R L Moore,Sir Michael Stoute,Lily Of The Valley (FR),9.81,14/1,14/1
15/9/2010,1/12,8-13,101.0,Yarm,10f,Sft,1.0,R L Moore,Sir Michael Stoute,Nouriya, ,11/4,11/4
23/7/2010,1/7,8-8,95.0,York,10f,Gd,1.0,R L Moore,Sir Michael Stoute,Nouriya, ,2/1,7/4
10/6/2010,1/10,9-0, ,Newb,10f,Gd/Fm,5.0,R L Moore,Sir Michael Stoute,Nouriya, ,4/6,8/11
16/4/2010,3/10,9-0, ,Newb,10f,Gd,4.0,R L Moore,Sir Michael Stoute,Gertrude Bell,2.31,11/10,10/11
9/10/2009,4/12,9-0, ,Ling,8f,std/Slow,4.0,R L Moore,Sir Michael Stoute,Timepiece,3.31,14/1,16/1
