Team,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
Minnesota,0.287,162,5602,801,1608,275,34,143,754,490,872,101,42,31,55,163,0.347,0.425,0.771
NY Yankees,0.285,162,5651,930,1608,327,21,210,902,649,1053,139,35,34,49,139,0.363,0.461,0.824
Toronto,0.284,162,5596,809,1591,348,27,199,778,514,906,65,33,16,52,166,0.348,0.463,0.811
Cleveland,0.28,162,5619,870,1576,351,27,196,839,556,1204,55,23,30,43,127,0.349,0.457,0.806
Chi White Sox,0.28,162,5657,868,1586,291,20,236,839,502,1056,93,48,44,57,118,0.342,0.464,0.806
Texas,0.278,162,5659,835,1571,357,23,183,799,505,1061,53,24,18,50,148,0.338,0.446,0.784
Baltimore,0.277,162,5610,768,1556,288,20,164,727,474,878,121,32,40,41,145,0.339,0.424,0.763
LA Angels,0.274,162,5609,766,1539,309,29,159,737,486,914,148,57,31,53,126,0.334,0.425,0.759
Detroit,0.274,162,5642,822,1548,294,40,203,785,430,1133,60,40,45,36,120,0.329,0.449,0.777
Seattle,0.272,162,5670,756,1540,266,42,172,703,404,974,106,37,38,38,117,0.325,0.424,0.749
Kansas City,0.271,162,5589,757,1515,335,37,124,718,474,1040,65,34,52,48,130,0.332,0.411,0.743
Boston,0.269,162,5619,820,1510,327,16,192,777,672,1056,51,23,22,56,136,0.351,0.435,0.786
Oakland,0.26,162,5500,771,1429,266,22,175,735,650,976,61,20,25,56,170,0.34,0.412,0.752
Tampa Bay,0.255,162,5474,689,1395,267,33,190,650,441,1106,134,52,35,43,101,0.314,0.42,0.733
