Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Mauro Gomez,Paw,169,19,47,15,0,9,25,0,0,9,39,0.278,0.315,0.527,0.841
Jackie Bradley,PorSal,202,25,63,20,3,2,16,8,5,26,49,0.312,0.397,0.47,0.867
Xander Bogaerts,PorSal,202,23,60,16,0,6,21,2,1,21,46,0.297,0.37,0.465,0.835
Jeremias Pineda,GCL,56,5,18,4,1,0,4,3,6,4,11,0.321,0.367,0.429,0.795
J.C. Linares,PawPor,226,20,59,10,0,9,27,0,0,16,43,0.261,0.317,0.425,0.742
Jeremy Hazelbaker,PawPor,198,24,49,8,1,8,18,16,6,17,59,0.247,0.318,0.419,0.737
Alixon Suarez,DSL,92,14,24,3,2,2,11,0,2,15,21,0.261,0.381,0.402,0.783
Keury De La Cruz,SalGre,251,26,65,17,5,3,19,7,5,18,59,0.259,0.314,0.402,0.716
Josh Kroeger,Paw,102,9,25,7,0,3,9,0,4,9,15,0.245,0.304,0.402,0.706
Andy LaRoche,Paw,82,6,22,4,0,2,3,0,0,8,15,0.268,0.348,0.39,0.738
Michael Almanzar,Sal,216,16,59,13,0,4,22,4,3,15,40,0.273,0.325,0.389,0.714
Ryan Kalish,3 Teams,67,5,17,2,0,2,6,2,3,8,16,0.254,0.333,0.373,0.706
Garin Cecchini,Gre,231,27,61,16,1,2,18,19,3,23,55,0.264,0.337,0.368,0.705
Nate Spears,Paw,153,14,36,4,2,4,12,2,0,18,37,0.235,0.32,0.366,0.686
Kolbrin Vitek,3 Teams,131,9,33,12,0,1,6,0,0,8,32,0.252,0.295,0.366,0.661
Reynaldo Rodriguez,PawPor,197,21,44,13,0,5,13,4,1,23,54,0.223,0.308,0.365,0.673
Ryan Lavarnway,Paw,136,14,36,10,0,1,12,0,0,14,28,0.265,0.333,0.36,0.694
Travis Shaw,PorSal,211,21,47,13,2,4,21,4,1,27,63,0.223,0.317,0.36,0.677
Bryce Brentz,PawPor,237,20,58,10,1,5,26,2,2,21,71,0.245,0.311,0.359,0.669
Aneudis Peralta,DSL,84,12,21,7,1,0,12,1,1,18,16,0.25,0.385,0.357,0.742
Drew Hedman,PorSal,121,15,22,6,0,5,12,4,0,23,40,0.182,0.318,0.355,0.673
Carson Blair,Sal,86,6,15,5,2,2,9,1,1,7,26,0.174,0.245,0.349,0.594
Pedro Ciriaco,Paw,135,17,35,7,1,1,7,6,1,4,23,0.259,0.289,0.348,0.637
Adalberto Ibarra,Sal,130,11,37,6,1,0,11,5,1,13,22,0.285,0.372,0.346,0.718
Jose Colorado,LowGCL,84,6,21,3,1,1,6,4,2,8,20,0.25,0.316,0.345,0.661
