Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
N Perez,TUL,SS,.143,10,28,1,4,0,0,0,0,2,2,0,0,1,0,1,0.2,.143,.343
C Barmes,TUL,SS,.324,8,34,6,11,1,0,0,0,1,3,1,0,0,0,2,0.343,.353,.696
J Ramos,ARK,SS,--,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,--,--
A Pavkovich,ARK,SS,.407,8,27,2,11,3,1,1,3,0,3,1,1,0,0,0,0.407,.704,1.111
R Leahy,ARK,SS,.231,43,121,12,28,4,1,1,10,6,17,0,2,6,0,5,0.29,.306,.596
A Blanco,WIC,SS,.189,9,37,5,7,0,0,1,5,3,7,0,0,1,0,0,0.25,.270,.520
M Aviles,WIC,SS,.280,133,521,79,146,33,6,14,80,30,64,11,6,2,5,16,0.318,.447,.765
B Groves,WIC,SS,.234,86,273,43,64,9,0,2,25,29,50,2,2,7,3,6,0.314,.289,.603
M Jaramillo,SPR,SS,.234,59,175,16,41,13,0,1,7,8,37,1,1,2,0,3,0.272,.326,.597
K Estrada,SPR,SS,.295,90,292,39,86,19,2,5,19,27,51,18,7,8,0,6,0.354,.425,.779
B Ryan,SPR,SS,.273,43,154,28,42,8,1,2,9,15,19,6,0,2,1,3,0.343,.377,.720
R Laya,SPR,SS,.393,12,28,5,11,1,1,0,4,1,1,0,1,0,0,0,0.414,.500,.914
O Quintanilla,MID,SS,.293,78,294,46,86,14,2,4,25,23,40,2,3,1,1,5,0.347,.395,.741
J Brewer,FRI,SS,.292,75,264,39,77,13,1,2,22,15,43,8,5,8,2,10,0.33,.371,.701
J Arias,FRI,SS,.315,120,499,65,157,23,8,5,56,17,46,20,10,3,6,5,0.335,.423,.757
S Taylor,FRI,SS,.258,108,414,41,107,21,1,13,66,21,65,2,5,0,9,11,0.298,.408,.706
P Reese,SAN,SS,.125,2,8,1,1,0,0,0,0,2,1,1,0,0,0,0,0.3,.125,.425
Y Betancourt,SAN,SS,.273,52,227,25,62,10,3,5,20,9,18,12,7,0,2,2,0.301,.410,.711
E Blakeley,SAN,SS,.211,20,57,1,12,1,0,0,4,1,7,1,1,1,0,1,0.224,.228,.452
T Whiteman,COR,SS,.250,41,152,13,38,9,0,1,15,18,40,3,4,2,0,4,0.333,.329,.662
W Robinson,COR,SS,.242,69,219,19,53,4,0,1,16,20,51,8,10,10,3,4,0.302,.274,.576
E Riggs,COR,SS,.261,129,452,40,118,27,3,7,57,52,77,5,7,8,8,11,0.337,.381,.718
