STL%,ORtg,Tm,Rk,Age,GS,TOV%
0.0,118,PHI,54,29-162,0,0.0
0.0, ,PHI,47,29-121,0, 
0.0,118,PHI,34,29-090,1,0.0
2.6,131,PHI,57,29-178,0,0.0
0.0,0,PHI,29,29-078,0,0.0
0.0,167,PHI,8,29-029,0,0.0
3.3,157,PHI,12,29-036,0,0.0
2.0,148,PHI,2,29-009,0,0.0
0.0,33,PHI,18,29-051,0,0.0
0.0,55,PHI,23,29-061,0,0.0
0.0,133,PHI,28,29-072,0,0.0
3.2, ,PHI,38,29-098,1, 
6.2,0,PHI,3,29-015,0,50.0
0.0,75,PHI,14,29-041,0,0.0
2.9,76,PHI,40,29-105,0,25.8
3.9,124,PHI,46,29-120,0,22.5
0.0, ,PHI,24,29-064,0, 
0.0, ,PHI,55,29-165,0, 
0.0,0,PHI,21,29-057,0,100.0
0.0,137,PHI,36,29-094,0,0.0
0.0,104,PHI,39,29-103,0,20.5
5.9,200,PHI,1,29-008,0,0.0
4.9,37,PHI,33,29-088,1,33.3
2.7,154,PHI,15,29-044,0,0.0
0.0,43,PHI,16,29-048,0,50.0
2.9,33,PHI,56,29-170,0,0.0
0.0, ,PHI,41,29-108,0, 
0.0,44,PHI,11,29-034,0,0.0
