Salary,RAR,waaWL%,WAR,162WL%,Pos Summary,Acquired,Name,PA,Rrep
 ,-1,.491,-0.1,.499,/2,Free Agency,George Williams#,17,1
 ,-0,.500,0.0,.500,1,Waivers,Todd Erdos,1,0
 ,0,.500,0.0,.500,1,Free Agency,Matt Whiteside,0,0
"$2,600,000",-1,.490,-0.2,.498,6/4,Traded,Chris Gomez,64,2
"$250,000",0,.500,0.0,.500,/1,Traded,Steve Montgomery,0,0
"$3,750,000",4,.490,0.2,.492,*4,Traded,Bret Boone,525,16
 ,2,.496,0.1,.499,6/4,Amateur Draft,Kevin Nicholson#,105,3
 ,-4,.462,-0.4,.497,/564,Amateur Draft,Greg LaRocca,30,1
 ,0,.500,0.0,.500,1,Traded,Heathcliff Slocumb,0,0
"$700,000",-0,.500,-0.0,.500,1,Traded,Donne Wall,2,0
"$700,000",10,.497,0.9,.497,*8/7,Traded,Ruben Rivera,479,15
"$360,000",-2,.492,-0.2,.499,1,Traded,Brian Meadows,44,0
"$5,750,000",35,.511,3.2,.510,*3/79,Traded,Ryan Klesko*,590,18
 ,-0,.492,-0.1,.500,/1,Purchased,Rodrigo Lopez,9,0
"$230,000",0,.501,0.0,.500,1,Rule 5 Draft,Will Cunnane,7,0
"$1,750,000",4,.492,0.3,.495,7,Traded,Al Martin*,378,12
"$6,600,000",0,.500,0.0,.500,1,Traded,Trevor Hoffman,0,0
"$830,000",0,.505,0.0,.500,/1,Traded,Brian Boehringer#,5,0
"$200,000",1,.498,0.1,.499,97/8D,Rule 5 Draft,Kory DeHaan*,110,3
 ,0,.501,0.1,.500,1,Amateur Draft,Kevin Walker*,4,0
