Date,Opponent,Score,w,l,sv,ip,h,r,er,era,bb,k,hr
Feb 1,vs. Truett-McConnell College,"W, 5-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 2,at Valdosta State,"L, 14-5",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 5,at Auburn Montgomery,"W, 12-7",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 7,at West Alabama,"L, 6-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 8,at West Alabama,"L, 6-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 9,at West Alabama,"L, 6-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 15,University of Montevallo,"L, 13-5",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 15,University of Montevallo,"W, 6-5",-,-,-,-,-,-,-,-,-,-,-
Feb 16,University of Montevallo,"L, 8-2",-,-,-,-,-,-,-,-,-,-,-
Feb 18,at Albany State,"L, 7-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 19,Southern Polytechnic State,"L, 6-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 22,at Armstrong,"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Feb 22,at Armstrong,"L, 4-3",-,-,-,-,-,-,-,-,-,-,-
Feb 23,at Armstrong,"L, 9-6",-,-,-,-,-,-,-,-,-,-,-
Mar 1,at Francis Marion University,"W, 10-4",-,-,-,-,-,-,-,-,-,-,-
Mar 1,at Francis Marion University,"L, 5-2",-,-,-,-,-,-,-,-,-,-,-
Mar 2,at Francis Marion University,"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 8,Georgia College,"L, 8-6",-,-,-,-,-,-,-,-,-,-,-
Mar 9,Georgia College,"L, 7-2",-,-,-,-,-,-,-,-,-,-,-
Mar 9,Georgia College,"L, 9-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 15,at UNC Pembroke,"W, 5-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 15,at UNC Pembroke,"L, 13-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 16,at UNC Pembroke,"L, 10-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 19,at Stillman College,"L, 6-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 20,at Stillman College,"W, 5-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 26,at West Georgia,"W, 5-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 30,Lander University,"W, 3-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 30,Lander University,"L, 16-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 31,Lander University,"W, 8-7",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 2,Albany State,"W, 6-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 5,at Young Harris College,"L, 4-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 5,at Young Harris College,"L, 9-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 6,at Young Harris College,"L, 13-7",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 9,at Southern Polytechnic State,"L, 6-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 11,Columbus State,"L, 7-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 12,Columbus State,"L, 8-7",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 13,Columbus State,"L, 9-7",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 16,Auburn Montgomery,"L, 12-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 20,Flagler College,"L, 3-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 20,Flagler College,"W, 5-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 21,Flagler College,"L, 8-5",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 26,at USC Aiken,"L, 13-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 26,at USC Aiken,"L, 7-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 27,at USC Aiken,"L, 4-2",0,0,0,0.0,-,-,-,0.00,-,-,-
