RBI,AB,SO,OBP,Player,SB,SF,Team,3B
48,262,26,.410,I Terrazas,0,4,MEX,2
45,283,40,.395,R Sanchez,4,2,TAB,0
52,394,71,.326,O De La Torre,0,3,PUE,3
4,62,8,.277,H Arredondo,0,0,SAL,0
1,10,2,.100,E Pacheco,0,0,MIN,0
6,91,17,.245,D Flores,1,0,CAM,1
79,392,57,.400,M McDougall,5,2,REY,1
34,310,34,.307,H Hernandez,8,4,VER,4
4,45,5,.234,Y Torres,0,1,VER,0
4,45,13,.327,T Dominguez,3,0,MIN,0
23,177,19,.382,N Becerra,0,4,OAX,0
9,63,8,.232,R Soto,0,1,TAB,0
1,22,0,.375,A Cintron,0,1,LAG,0
2,41,5,.195,H Hurtado,0,0,TIG,0
97,397,95,.376,J Guzman,2,3,VER,0
87,396,60,.416,J Gutierrez,0,2,REY,1
73,351,55,.365,J Robles,2,3,CAM,0
54,282,68,.327,J Cordova,3,4,MVA,0
60,444,48,.399,L Heras,25,2,MEX,8
27,257,32,.390,T Redman,5,1,TAB,1
36,309,42,.332,A Lamas,8,1,MVA,3
2,39,3,.366,C Penuelas,1,0,SAL,0
8,64,10,.338,F Gutierrez,1,0,VER,1
7,32,0,.500,C Quintero,3,0,OAX,0
53,199,33,.432,K Garcia,3,2,MTY,2
51,283,45,.341,E Espinoza,1,6,YUC,0
24,205,31,.407,E Osorio,3,2,VER,2
18,175,38,.323,P Diaz,1,1,CAM,0
15,104,9,.434,V Gamez,1,2,PUE,1
24,287,59,.339,M Lopez,3,1,CAM,3
14,146,21,.357,C Orrantia,4,1,MTY,2
29,291,42,.379,I Salas,6,2,SAL,2
58,437,93,.333,R Serrano,3,4,PUE,7
74,393,71,.339,J Cabrera,2,6,CAM,2
0,7,2,.250,C Garzon,0,0,OAX,0
8,118,17,.291,A Rivero,1,0,YUC,0
24,366,57,.313,I Bellazetin,7,1,MIN,1
69,323,41,.345,A Munoz,1,4,REY,1
5,36,6,.341,S Elizalde,0,2,MTY,0
5,56,15,.311,B Gil,0,0,OAX,0
0,4,1,.200,H Wilson,0,0,MEX,0
41,340,30,.373,D Castro,2,3,REY,2
30,375,99,.372,A Gonzalez,9,2,OAX,1
2,63,22,.172,O Renteria,0,0,TIG,0
44,298,61,.402,F Mendez,0,2,VER,0
19,106,19,.301,M Del Campo,0,1,LAG,2
46,134,29,.449,R Mulhern,2,1,SAL,2
5,111,13,.349,A Martinez,2,0,MTY,0
34,247,51,.319,P Leon,1,1,MIN,1
90,357,53,.424,R Rivera,7,5,CAM,2
2,44,7,.367,F Flores,4,1,CAM,1
24,168,13,.348,H Gomez,4,0,MTY,0
68,350,97,.414,G Martinez,2,6,LAG,0
18,166,31,.373,G Meza,0,2,TAB,1
45,333,59,.426,H Cota,0,4,MTY,0
10,117,12,.394,F Arias,1,1,REY,1
11,92,25,.265,G Bustamante,4,2,YUC,0
0,8,1,.250,S Huchin,0,0,YUC,0
19,179,33,.465,F Romero,15,2,LAG,1
4,29,4,.143,A Valencia,0,2,MVA,0
24,281,51,.301,C Gonzalez,5,1,SAL,5
1,14,7,.313,R Valles,1,0,TAB,0
31,161,28,.330,R Lopez,0,3,MVA,1
29,157,28,.404,R Saucedo,0,4,MTY,1
15,81,15,.369,A Martinez,1,0,MIN,3
89,379,150,.378,V Diaz,6,2,VER,0
0,1,1,.000,J Camacho,0,0,REY,0
36,179,29,.332,J Laurean,0,5,LAG,1
55,347,56,.345,H Garanzuay,7,4,MVA,1
18,192,32,.329,F Lizarraga,0,1,TAB,0
1,28,9,.200,R Abercrombie,0,0,TIG,1
52,435,64,.423,H Mateo,32,4,TAB,8
7,58,22,.328,C Piste,1,0,YUC,0
73,384,55,.416,R Cervantes,0,3,SAL,0
51,409,49,.352,C Gastelum,13,0,TIG,4
13,57,7,.339,J Rodriguez,0,0,SAL,0
0,30,9,.219,B Valdez,0,0,REY,0
9,49,11,.302,J Gamboa,1,1,MEX,0
34,352,25,.360,L Borges,1,3,YUC,2
23,188,40,.372,O Mendoza,3,0,MVA,0
41,355,28,.370,O Morejon,5,3,YUC,3
44,311,32,.368,E Rodriguez,1,2,OAX,0
4,19,4,.263,G Galaviz,2,0,LAG,0
5,47,8,.188,F Valdez,1,0,PUE,0
62,380,47,.404,C Rivera,0,1,MIN,1
