Shots/60,G/60,Team,iFenwick,A/60,Player Name,IPP
5.95,0.71,Florida,93,1.71,"GILBERT, TOM",49.0
9.04,0.57,NY Islanders,156,3.12,"VISNOVSKY, LUBOMIR",53.6
7.49,0.45,Anaheim,103,2.80,"ROBIDAS, STEPHANE",54.7
12.67,0.77,Ottawa,193,2.78,"CORVO, JOE",59.7
12.54,1.31,Washington,178,2.33,"GREEN, MIKE",48.0
9.75,0.89,Anaheim,193,2.68,"FOWLER, CAM",51.5
15.27,1.03,Montreal,380,2.57,"SUBBAN, P.K.",61.2
13.64,1.71,Nashville,323,2.72,"WEBER, SHEA",62.5
12.94,0.58,Colorado,174,2.53,"JOHNSON, ERIK",52.5
11.61,0.99,Detroit,161,4.38,"LIDSTROM, NICKLAS",66.2
9.40,0.60,Arizona,248,3.22,"YANDLE, KEITH",64.2
16.99,1.18,Vancouver,251,1.57,"GARRISON, JASON",57.1
9.94,0.82,Ottawa,245,3.58,"KARLSSON, ERIK",70.0
9.11,1.17,Minnesota,112,2.22,"SPURGEON, JARED",55.8
6.75,0.35,Nashville,114,2.51,"DEL_ZOTTO, MICHAEL",53.2
12.62,0.61,Pittsburgh,193,2.42,"NISKANEN, MATT",47.6
9.93,1.16,Calgary,191,2.72,"GIORDANO, MARK",56.8
11.03,0.59,Chicago,225,3.31,"KEITH, DUNCAN",57.0
9.43,0.68,Florida,145,1.75,"KULIKOV, DMITRY",49.0
8.47,0.51,Philadelphia,198,3.44,"TIMONEN, KIMMO",52.1
8.09,0.83,Buffalo,121,2.28,"MYERS, TYLER",56.6
9.27,0.59,Dallas,184,3.31,"GONCHAR, SERGEI",64.6
10.49,0.79,Toronto,240,2.69,"PHANEUF, DION",54.6
