MP,TOV%,Tm,GmSc,GS,BLK%,Date
18:00,0.0,LAL,0.3,0,4.2,1995-12-12
2:00,0.0,LAL,1.3,0,0.0,1996-04-10
17:00,17.0,LAL,2.9,0,10.9,1996-03-19
8:00,50.0,LAL,1.7,0,0.0,1996-01-07
17:00,0.0,LAL,4.9,0,3.5,1995-12-23
16:00,33.3,LAL,2.5,0,0.0,1996-01-05
15:00,0.0,LAL,1.1,0,8.9,1995-12-03
21:00,11.3,LAL,13.5,0,9.1,1995-12-01
5:00,0.0,LAL,2.4,0,0.0,1996-02-20
30:00,22.5,LAL,9.6,1,0.0,1995-12-08
22:00,34.0,LAL,6.7,0,3.6,1995-12-10
24:00,22.5,LAL,1.7,0,3.2,1995-11-17
23:00,38.1,LAL,2.3,0,3.5,1995-11-14
6:00,0.0,LAL,1.6,0,0.0,1995-11-25
10:00,15.5,LAL,-0.2,1,13.7,1996-03-24
9:00,0.0,LAL,1.6,0,0.0,1996-01-20
9:00,0.0,LAL,2.3,0,8.9,1996-03-21
6:00,20.5,LAL,4.4,0,11.9,1996-02-02
1:00,0.0,LAL,2.0,0,0.0,1996-03-07
20:00,40.0,LAL,4.9,0,3.5,1995-11-21
7:00,50.0,LAL,1.0,0,0.0,1996-02-21
4:00,0.0,LAL,-0.8,0,0.0,1996-01-15
