GIDP,POS,G,SB,3B
0,RF,1,0,0
1,DH,28,0,0
2,1B,109,6,2
3,LF,59,9,0
6,2B,72,3,0
1,C,27,0,0
8,1B,90,2,1
3,2B,14,0,0
4,RF,112,18,2
7,C,47,1,0
0,SS,5,0,0
1,OF,5,1,0
1,OF,19,1,0
11,2B,103,32,4
2,3B,31,1,2
1,OF,9,1,0
3,C,83,1,3
0,DH,9,0,0
3,2B,10,0,1
0,LF,15,1,0
8,DH,117,3,1
1,C,30,1,1
1,SS,60,4,1
3,CF,126,37,5
1,OF,10,1,1
0,3B,5,0,0
5,RF,104,4,4
4,SS,39,1,1
0,1B,10,0,0
0,C,39,6,1
6,SS,81,4,5
0,3B,15,0,0
3,SS,58,2,0
0,C,1,0,0
3,3B,78,4,1
4,3B,33,0,0
6,2B,56,1,1
0,C,13,0,0
5,C,47,0,0
9,1B,130,5,7
18,3B,91,2,1
9,2B,92,25,5
8,C,84,1,5
4,2B,115,9,2
2,C,16,0,0
6,C,69,3,0
4,2B,50,2,0
3,C,80,1,2
8,LF,127,8,1
10,3B,129,9,1
1,OF,16,0,1
4,RF,55,2,1
3,CF,91,33,6
3,1B,40,0,0
4,2B,118,28,5
7,1B,95,2,1
1,RF,13,0,1
2,LF,27,0,0
5,RF,94,12,1
5,CF,91,4,0
2,C,10,0,0
8,2B,50,1,1
10,2B,92,6,1
6,C,59,0,0
10,1B,72,7,1
0,P,1,0,0
8,LF,115,15,3
2,LF,17,5,1
5,OF,28,0,0
4,SS,91,28,3
0,CF,19,2,0
1,3B,35,0,2
4,C,51,3,0
2,SS,76,17,3
3,3B,43,3,3
4,C,81,8,3
0,2B,15,1,0
1,SS,36,7,1
1,C,5,0,0
12,SS,85,5,3
1,1B,31,5,1
5,3B,106,4,1
1,SS,49,8,1
2,SS,58,14,1
0,2B,7,0,0
3,1B,16,0,0
12,SS,97,11,1
2,DH,21,2,0
1,OF,32,2,4
4,C,56,0,0
9,CF,95,10,4
2,LF,61,7,6
2,1B,21,0,0
7,RF,97,14,2
8,1B,86,2,1
8,C,51,0,1
0,DH,9,0,0
9,OF,96,18,1
8,2B,116,6,2
6,SS,58,2,2
3,1B,69,2,0
10,1B,131,4,5
12,LF,119,11,7
6,RF,120,13,2
11,SS,127,14,1
0,C,9,0,1
4,C,86,1,0
0,OF,15,1,0
6,C,36,0,0
3,LF,47,7,1
3,C,47,4,0
5,C,74,0,2
3,DH,22,4,0
4,C,16,0,0
0,OF,3,0,0
2,2B,68,1,1
14,3B,137,13,2
1,C,21,0,0
8,C,104,3,1
5,1B,87,2,2
3,SS,123,10,2
4,2B,52,4,0
11,SS,111,19,2
2,2B,13,0,0
0,C,10,0,0
0,P,1,0,0
1,2B,16,0,0
1,RF,5,0,0
10,SS,68,1,1
4,2B,90,19,5
0,OF,6,0,0
7,2B,132,7,3
1,LF,7,1,1
7,1B,70,3,0
0,C,8,0,0
6,LF,74,4,1
0,P,1,0,0
8,1B,124,11,5
17,2B,126,43,1
0,P,0,0,0
7,LF,127,2,5
