Title,Offering,Standing,Credits,When,S,Description,Faculty,Days,Multiple Standings,Start Quarters,Open Quarters
"Advanced Research in Environmental Studies Dylan Fischer, Abir Biswas, Lin Nelson, Erik Thuesen, Alison Styring and Gerardo Chin-Leo agriculture botany community studies ecology environmental studies geography geology health hydrology law and government policy marine science zoology Signature Required: Fall Winter Spring",Program,JR–SRJunior–Senior,V,Day,S 14Spring,"Rigorous quantitative and qualitative research is an important component of academic learning in Environmental Studies. This independent learning opportunity is designed to allow advanced students to delve into real-world research with faculty who are currently engaged in specific projects. The program will help students develop vital skills in research design, data acquisition and interpretation, written and oral communication, collaboration and critical thinking skills—all of which are of particular value for students who are pursuing a graduate degree, as well as for graduates who are already in the job market. studies in nutrient and toxic trace metal cycles in terrestrial and coastal ecosystems. Potential projects could include studies of mineral weathering, wildfires and mercury cycling in ecosystems. Students could pursue these interests at the laboratory-scale or through field-scale biogeochemistry studies taking advantage of the Evergreen Ecological Observation Network (EEON), a long-term ecological study area. Students with backgrounds in a combination of geology, biology or chemistry could gain skills in soil, vegetation and water collection and learn methods of sample preparation and analysis for major and trace elements. studies marine phytoplankton and bacteria. His research interests include understanding the factors that control seasonal changes in the biomass and species composition of Puget Sound phytoplankton. In addition, he is investigating the role of marine bacteria in the geochemistry of estuaries and hypoxic fjords. studies plant ecology and physiology in the Intermountain West and southwest Washington. This work includes image analysis of tree roots, genes to ecosystems approaches, plant physiology, carbon balance, species interactions, community analysis and restoration ecology. He also manages the EEON project (academic.evergreen.edu/projects/EEON). See more about his lab's work at: academic.evergreen.edu/f/fischerd/E3.htm. studies and is involved with advocacy efforts on the linkages between environment, health, community and social justice. Students can become involved in researching environmental health in Northwest communities and Washington policy on phasing out persistent, bio-accumulative toxins. One major project students can work on is the impact of the Asarco smelter in Tacoma, examining public policy and regional health. studies birds. Current activity in her lab includes avian bioacoustics, natural history collections and bird research in the EEON. Bioacoustic research includes editing and identifying avian songs and calls from an extensive collection of sounds from Bornean rainforests. Work with the natural history collections includes bird specimen preparation and specimen-based research, including specimens from Evergreen's Natural History Collections and other collections in the region. Work with EEON includes observational and acoustic surveys of permanent ecological monitoring plots in The Evergreen State College campus forest. conducts research on the ecological physiology of marine animals. He and his students are currently investigating the physiological, behavioral and biochemical adaptations of gelatinous zooplankton to environmental stress and climate change. Other research is focused on the biodiversity of marine zooplankton. Students working in his lab typically have backgrounds in different aspects of marine science, ecology, physiology and biochemistry. Please go to the catalog view for specific information about each option.",Dylan Fischer Abir Biswas Lin Nelson Erik Thuesen Alison Styring Gerardo Chin-Leo, ,Junior JR Senior SR,Fall,Fall Winter Spring
Advanced Research in Environmental Studies with L. Nelson Lin Nelson community studies environmental studies health Signature Required: Fall Winter Spring,Research,JR–SRJunior–Senior,V,Day,S 14Spring, ,Lin Nelson, ,Junior JR Senior SR,Fall,Fall Winter Spring
Art for Art Therapists Gail Tremblay health psychology visual arts,Course,FR–SRFreshmen–Senior,04,Day, ,This course is designed to explore art projects that can be used in therapeutic settings with patients and clients. It will include readings and films about art used as therapy along with hands-on art projects that explore a variety of media. Students will be required to create at least five works of art using various media and to write a summary at the end of the summer session that explores what they have learned.,Gail Tremblay,Tue Thu,Freshmen FR Sophomore SO Junior JR Senior SR,Summer,Summer
Creating Community and Health Through Gardens Marja Eloheimo botany community studies field studies health,Program,FR–SRFreshmen–Senior,08,Day, ,"In this 8-credit summer program, we will explore ways in which various types of gardens can contribute to community and health. We will spend much of our time outdoors, visiting medicinal, ethnobotanical, reservation-based, and urban food forest gardens, and engaging in hands-on and community-service learning experiences. We will also consider themes related to sustainability, identify plants, learn herbal, and horticultural techniques, and develop nature drawing, and journaling skills. We will deepen our understanding through readings, lecture/discussions, and seminars as well as projects and research. This program is suitable for students interested in environmental education, community development, health studies, plant studies, sustainability, ethnobotany, and horticulture.",Marja Eloheimo,Tue Wed Thu,Freshmen FR Sophomore SO Junior JR Senior SR,Summer,Summer
Ethnobotany Grows in the Garden - Late Summer Intensive Marja Eloheimo Native American studies botany health natural history,Course,FR–SRFreshmen–Senior,04,Day, ,"During this weeklong intensive, students will spend time in the Longhouse Ethnobotanical Garden at Evergreen learning to identify, care for, and use native, edible, and medicinal plants in late summer. Students will participate in workshops, carry out projects, and engage in daily nature journaling, reading, and writing. Plan to spend much of your time outdoors.",Marja Eloheimo, ,Freshmen FR Sophomore SO Junior JR Senior SR,Summer,Summer
"Health Inequity: Telling the Story and Changing It Nancy Anderson, Frances V. Rains and Lori Blewett Native American studies communication community studies health history political science",Program,JR–SRJunior–Senior,08,Weekend,S 14Spring,"This year-long program will introduce the scope and tools of communication, social science, and public health. Public health and prevention are often the invisible part of health policy. Those who are healthy or whose diseases have been prevented never know what they missed. Yet we know that all people are not equally likely to have long and healthy lives. Understanding the factors associated with health and wellness, including the effects of class, race, and ethnicity, was the focus of fall quarter. In addition we considered ways that communication between health providers and people who use health services can affect health outcomes, particularly in cross-cultural and cross-class contexts. Our work during fall quarter equipped us for winter and spring quarters, when we will focus on the specific challenges to health and wellbeing that Native American people in the Salish Sea region face, in terms of cultural as well as physical survival.During winter and spring quarters, the Grays Harbor program will focus on the Peoples of the Salish Sea (Puget Sound, Strait of Juan de Fuca, and the Georgia Straits). Central elements of the winter and spring portions of the program will include the colonization of Native peoples of the Salish Sea that accompanied European settlement, Indigenous resistance, rights and cultural renewal, a critique of current policies and practices that have not promoted the achievement of social or health equity, and the public health and social policies that may intervene to improve overall health and wellness in the surrounding communities. We will explore the intersection of place, culture, and health and how these factors reflect inequity in access to—and degradation of—resources in and around the Salish Sea. We will examine these themes through multiple lenses including political ecology, public health, history, and Native studies. Our readings will include current case studies, empirical research, and counter-narratives.The overarching questions that will carry us through these two quarters include how European settlement has affected the wellbeing of the Salish peoples, the interaction through time and space between Native and non-Native peoples, and the effects of these interactions on health, wellbeing, and sustainability of these communities. We will also examine ways in which lessons from history and current vulnerabilities can help us create a viable and equitable future that will heal and honor the Salish Sea and all its people. During spring quarter the program plans to visit the Elwha River and learn about the history of the Elwha River ecosystem as a case study and example of social injustice. We will study the effects of the Elwha Dam as well as the expected effects of dam removal on the Elwha ecosystem, tribal sovereignty, and overall health and wellness of the Elwha Klallam people.Throughout the year, learning will take place through writing, readings, seminars, lectures, films, art, and guest speakers. Students will improve their research skills through document review, observations, critical analysis, and written assignments. Verbal skills will be improved through small group and whole class seminar discussions and through individual final project presentations.",Nancy Anderson Frances V. Rains Lori Blewett,Sat Sun,Junior JR Senior SR,Fall,Fall Winter Spring
Health vs. Wealth Mary Dean health sustainability studies,Course,FR–SRFreshmen–Senior,04,Evening,S 14Spring,"We will explore the intersection where valued health care meets paid health care. In the health care arena, good intent is plagued by paradox and can yield under-funding and a mismatch with initial intent. Paradoxes and costs haunting prevention, access, and treatment will be reviewed. The books and aid our journey as will the video series, ""Remaking American Medicine"", ""Sick Around the World,"" and ""Sick Around America"". We will consider the path of unintended consequences where piles of dollars are not the full answer to identified need.",Mary Dean,Tue,Freshmen FR Sophomore SO Junior JR Senior SR,Spring,Spring
Individual Study: East-West Psychology Ryo Imamura anthropology communication consciousness studies cultural studies education environmental studies field studies health history international studies music philosophy psychology religious studies sociology somatic studies sustainability studies Signature Required: Spring,Contract,SO–SRSophomore–Senior,16,Day,S 14Spring,"This is an opportunity for sophomore, junior and senior students to create their own course of study and research, including internship, community service, and study abroad options. Before the beginning of spring quarter, interested students should submit an Individual Learning or Internship Contract to Ryo Imamura, which clearly states the work to be completed. Possible areas of study are Western psychology, Asian psychology, Buddhism, counseling, social work, cross-cultural studies, Asian-American studies, religious studies, nonprofit organizations, aging, death and dying, deep ecology and peace studies. Areas of study other than those listed above will be considered on a case-by-case basis.",Ryo Imamura, ,Sophomore SO Junior JR Senior SR,Spring,Spring
"Individual Study: Water Law, Cultural Studies and the Arts Cheri Lucas-Jennings American studies aesthetics agriculture community studies cultural studies ecology environmental studies field studies gender and women's studies government health hydrology international studies law and public policy media arts political economy political science sustainability studies visual arts writing Signature Required: Fall",Contract,SO–SRSophomore–Senior,16,Day and Evening, ,"Individual studies offers important opportunities for advanced students to create their own course of study and research. Prior to the beginning of the quarter, interested individuals or small groups of students must consult with the faculty sponsor to develop an outline of proposed projects to be described in an Individual Learning Contract. If students wish to gain internship experience they must secure the agreement and signature of a field supervisor prior to the initiation of the internship contract.This faculty welcomes internships and contracts in the areas of the arts (including acrylic and oil painting, sculpture, or textiles); water policy and hydrolic systems; environmental health; health policy; public law; cultural studies; ethnic studies; permaculture, economics of agriculture; toxins and brownfields; community planning, intranational relations.This opportunity is open to those who wish to continue with applied projects that seek to create social change in our community; artists engaged in creative projects and those begining internship work at the State capitol who seek to expand their experience to public agencies and non-profit institutions; and to those interested in the study of low income populations and legal aid.",Cheri Lucas-Jennings, ,Sophomore SO Junior JR Senior SR,Fall,Fall
Mindbody Medicine Mukti Khanna consciousness studies health psychology,Program,FR–SRFreshmen–Senior,04 08,"Day, Evening and Weekend", ,"Mind-body Medicine focuses on the applications of sociocultural, psychosocial, and behavioral knowledge relevant to health and wellness. The course will explore historical foundations of mind-body medicine in addition to clinical practices including energy psychology, qigong, expressive arts therapy, somatic practices and mindfulness. Questions to be explored include ""What practices are emering at the creative edge of healthcare?"" and "" How are healthcare providers preparing themselves to work in an integrative healthcare system?"" Students have the option of doing additional health project work and theoretical readings for an additional 4 credits.",Mukti Khanna,Wed Fri Sat Sun,Freshmen FR Sophomore SO Junior JR Senior SR,Summer,Summer
