AST%,ORB%,TOV%
0.0,13.6,8.9
18.5,10.1,23.5
0.0,25.4,27.9
34.2,5.4,18.4
6.8,0.0,53.2
4.8,0.0,12.7
0.0,0.0, 
17.0,21.3,34.7
22.0,0.0,34.7
0.0,0.0, 
0.0,0.0,41.0
7.1,6.5,0.0
18.5,0.0, 
0.0,0.0,100.0
20.7,17.1,50.0
7.3,11.9,11.3
14.6,8.1,10.4
21.5,0.0,22.8
6.3,25.5,22.5
7.2,14.3,21.0
0.0,0.0, 
11.1,0.0,0.0
4.8,12.0,14.5
5.7,10.0,17.4
0.0,9.5,0.0
7.6,23.3,21.4
8.8,0.0,34.0
6.4,11.8,33.3
19.0,14.9,0.0
0.0,10.6,50.0
17.8,16.3,50.0
12.2,0.0,50.0
11.7,15.7,0.0
5.5,6.7,0.0
0.0,0.0,20.5
10.3,15.6,0.0
17.3,0.0,40.0
0.0,21.6,0.0
