Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,50+,0,4s,6s
Mohammad Shahzad (Afg),2010-2013,16,16,1,534,77,35.60,414,128.98,0,4,4,0,58,13
MW Machan (Scot),2013-2013,6,6,2,276,67*,69.00,210,131.42,0,3,3,0,29,4
PR Stirling (Ire),2010-2013,8,8,2,301,79,50.16,192,156.77,0,3,3,1,38,10
CS MacLeod (Scot),2012-2013,10,10,0,211,57,21.10,187,112.83,0,3,3,1,18,4
DA Warner (Aus),2012-2014,4,4,1,165,59,55.00,117,141.02,0,2,2,0,10,11
KP Pietersen (Eng),2010-2012,5,5,2,217,62*,72.33,169,128.4,0,2,2,0,20,5
W Barresi (Neth),2012-2013,8,8,2,201,75*,33.50,162,124.07,0,2,2,1,17,2
AN Kervezee (Neth),2010-2012,8,8,1,267,58*,38.14,229,116.59,0,2,2,0,18,6
CO Obuya (Kenya),2010-2013,12,12,2,250,60*,25.00,240,104.16,0,2,2,2,18,5
LD Chandimal (SL),2011-2013,3,2,0,78,56,39.00,66,118.18,0,1,1,0,9,0
F du Plessis (SA),2013-2013,2,2,2,95,58*,-,88,107.95,0,1,1,0,5,4
MA Leask (Scot),2013-2013,2,2,0,62,58,31.00,52,119.23,0,1,1,0,2,5
AD Mathews (SL),2011-2013,3,2,0,64,50,32.00,54,118.51,0,1,1,0,5,1
MDKJ Perera (SL),2013-2013,2,2,0,99,84,49.50,75,132.0,0,1,1,0,5,5
JM Bairstow (Eng),2012-2012,3,3,2,85,60*,85.00,75,113.33,0,1,1,0,5,2
EC Joyce (Ire),2012-2012,5,3,2,114,78*,114.00,107,106.54,0,1,1,0,9,3
Sarfraz Ahmed (Pak),2010-2014,4,3,1,82,76*,41.00,72,113.88,0,1,1,0,9,2
Sharjeel Khan (Pak),2013-2013,3,3,0,102,50,34.00,72,141.66,0,1,1,0,10,4
A Bagai (Can),2010-2013,4,4,1,165,67*,55.00,154,107.14,0,1,1,0,14,0
TLW Cooper (Neth),2012-2012,4,4,0,122,60,30.50,92,132.6,0,1,1,0,9,5
EJG Morgan (Eng),2010-2012,5,5,1,108,67*,27.00,91,118.68,0,1,1,0,10,3
AR Cusack (Ire),2010-2013,8,6,1,133,65,26.60,97,137.11,0,1,1,0,9,4
DT Johnston (Ire),2010-2013,11,6,2,146,62,36.50,97,150.51,0,1,1,0,10,6
Kamran Akmal (Pak),2009-2012,6,6,3,172,59*,57.33,133,129.32,0,1,1,1,20,5
SO Tikolo (Kenya),2010-2013,6,6,1,135,50*,27.00,91,148.35,0,1,1,2,20,3
Imran Nazir (Pak),2009-2012,7,7,0,106,58,15.14,101,104.95,0,1,1,1,12,5
Noor Ali Zadran (Afg),2010-2013,7,7,1,188,50,31.33,196,95.91,0,1,1,0,16,2
R Gunasekera (Can),2012-2013,8,8,0,202,65,25.25,188,107.44,0,1,1,0,23,4
RG Aga (Kenya),2012-2013,10,9,1,106,52*,13.25,88,120.45,0,1,1,0,10,2
AA Obanda (Kenya),2010-2013,10,10,0,186,79,18.60,134,138.8,0,1,1,2,29,3
RR Patel (Kenya),2010-2013,12,11,1,211,52,21.10,193,109.32,0,1,1,0,10,9
WTS Porterfield (Ire),2010-2013,11,11,2,228,56*,25.33,171,133.33,0,1,1,1,32,5
KJ Coetzer (Scot),2010-2013,12,12,0,239,62,19.91,243,98.35,0,1,1,0,19,7
Samiullah Shenwari (Afg),2010-2013,16,15,4,236,61,21.45,186,126.88,0,1,1,0,15,9
Umar Akmal (Pak),2009-2014,21,20,2,314,56*,17.44,303,103.63,0,1,1,3,25,6
