Name,Country,sex,tour,sl,tr,ju,yob,class,round,date,place,site id,line/ramp,speed
ALBRECHT Magnus,GER,M,09GER02,0.0,0.0,0.0,1994.0,L,1.0,07/05/2009,3.0,GERBREM,3.50@18.250,55.0
 , , , , , , , , , , , , , , 
ALBRECHT Magnus,GER,M,09GER02,0.0,0.0,25.8,1994.0,L,1.0,07/05/2009,2.0,GERBREM,0.235,51.0
ALBRECHT Magnus,GER,M,09GER02,0.0,0.0,0.0,1994.0,L,2.0,07/05/2009,3.0,GERBREM,4.00@18.250,55.0
 , , , , , , , , , , , , , , 
ALBRECHT Magnus,GER,M,09GER02,3.0,0.0,0.0,1994.0,L,3.0,07/05/2009,3.0,GERBREM,3.00@18.250,58.0
ALBRECHT Magnus,GER,M,09GER03,0.0,0.0,0.0,1994.0,L,1.0,07/12/2009,3.0,GERFELD,2.50@18.250,52.0
 , , , , , , , , , , , , , , 
ALBRECHT Magnus,GER,M,09GER03,0.0,0.0,20.3,1994.0,L,1.0,07/12/2009,3.0,GERFELD,0.235,51.0
ALBRECHT Magnus,GER,M,09GER03,0.0,0.0,0.0,1994.0,L,2.0,07/12/2009,3.0,GERFELD,0.00@18.250,37.0
