Description,2001,2002,2003,2004,2005,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,Line
"Federal government current receipts, NIPA basis",2016.2,1853.2,1879.9,2001.0,2246.7,2214.5,2240.3,2182.4,2349.8,2490.9,2559.4,1
Federal government personal current taxes (NIPA),994.5,830.5,774.5,801.4,927.9,891.2,910.9,941.0,968.4,1039.2,1067.2,2
Federal government taxes on production and imports received (NIPA),85.8,87.3,89.7,94.6,101.1,97.9,102.7,102.4,101.6,101.1,102.4,3
Federal government taxes on corporate income (NIPA) profit tax accruals,164.7,150.5,197.8,244.5,326.4,327.6,321.4,309.5,347.1,374.3,395.4,4
Federal government taxes from the rest of the world (NIPA),7.1,7.3,8.9,9.7,10.8,11.3,9.3,11.4,11.4,10.4,11.0,5
Federal government contributions for government social insurance received (NIPA),717.5,734.3,758.9,802.2,855.3,838.3,846.1,863.2,873.8,911.9,928.1,6
Federal government income receipts on assets (NIPA),24.9,20.2,22.9,22.1,22.9,22.8,23.8,22.8,22.3,23.3,23.9,7
Federal government current transfer receipts (NIPA),27.1,24.8,25.0,27.7,7.1,29.1,30.5,-61.7,30.6,32.2,32.8,8
Federal government current net operating surplus of government enterprises (NIPA),-5.5,-1.6,2.3,-1.2,-4.9,-3.7,-4.5,-6.0,-5.4,-1.4,-1.3,9
"Federal government current expenditures, NIPA basis",1969.5,2101.1,2252.1,2383.0,2555.9,2502.0,2529.9,2578.5,2613.3,2637.9,2686.6,10
Federal government consumption expenditures (NIPA),531.9,591.5,662.7,724.5,768.6,758.0,760.8,784.3,771.1,803.6,802.6,11
Federal government social benefits paid (NIPA),841.4,919.6,966.5,1018.4,1081.7,1065.9,1076.4,1087.8,1096.7,1148.8,1166.4,12
Federal government other current transfer payments paid (NIPA),290.0,323.4,362.2,374.9,395.0,395.2,385.4,393.5,405.7,373.3,379.8,13
Federal government interest payments (NIPA),258.6,229.1,212.9,220.9,253.8,230.9,252.1,255.2,277.1,257.5,285.4,14
Federal government subsidies paid (NIPA),47.6,37.5,47.8,44.3,56.9,51.9,55.2,57.7,62.7,54.7,52.3,15
Federal government wage accruals less disbursements (NIPA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
Federal government net saving (NIPA),46.7,-247.9,-372.1,-382.0,-309.2,-287.6,-289.6,-396.0,-263.6,-147.0,-127.2,17
Federal government consumption of fixed capital (NIPA),88.2,88.9,90.4,94.1,99.0,97.5,98.2,99.8,100.7,102.4,103.7,18
Federal government insurance and pension reserves,3.3,-1.7,-0.6,0.0,0.7,4.5,-0.0,-3.7,1.9,4.0,-1.7,19
Federal government capital transfers received by federal government (NIPA),-12.9,-23.1,-40.4,-38.4,-42.0,-47.7,-41.4,-40.4,-38.5,-43.2,-44.2,20
Federal government gross saving,118.8,-180.5,-321.5,-326.4,-252.8,-242.3,-232.7,-333.0,-203.4,-91.7,-66.0,21
Federal government gross investment,82.1,-173.8,-373.6,-330.3,-238.6,-434.3,-28.7,-269.4,-222.0,-446.7,233.8,22
"Federal government fixed gross investment, total (NIPA)",81.0,88.1,93.7,101.4,109.8,104.8,107.6,111.5,115.1,118.2,117.3,23
Federal government acquisition of nonproduced nonfin. assets,-0.7,0.3,-0.2,0.0,-0.6,0.3,-0.6,-2.3,0.0,0.2,-2.3,24
Federal government net financial investment,1.8,-262.2,-467.1,-431.7,-347.7,-539.4,-135.7,-378.6,-337.1,-565.1,118.9,25
Federal government total financial assets,55.2,24.8,33.9,-2.9,15.4,92.2,-33.6,-50.2,53.3,-3.5,61.3,26
"Federal government gold, SDRs, and official foreign exchange asset",4.6,3.4,-1.8,-3.1,-14.4,-21.6,2.9,-19.4,-19.5,-2.3,1.9,27
Federal government checkable deposits and currency asset,41.1,-17.1,9.2,-31.0,12.6,39.9,-31.1,-8.6,50.2,-67.3,75.6,28
Federal government total time and savings deposits asset,4.2,17.1,-25.2,-0.0,-1.0,-0.1,-2.8,1.5,-2.5,0.4,0.2,29
Federal government credit market instruments asset,6.0,9.5,-2.7,3.3,-2.7,0.9,-6.2,-6.3,0.8,7.3,9.4,30
Federal government U.S. government agency securities asset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Federal government other loans and advances (receivables due from the public) asset,-6.0,-3.7,-1.5,-2.6,-8.8,-10.2,-9.3,-10.4,-5.3,-5.2,-0.8,32
Federal government total mortgages asset,-1.1,0.5,-2.5,1.6,2.4,1.1,0.6,3.8,4.0,1.8,6.9,33
Federal government consumer credit (student loans) asset,13.1,12.7,1.3,4.3,3.8,10.0,2.6,0.3,2.1,10.7,3.3,34
Federal government trade receivables asset,7.3,-3.3,19.1,10.5,9.1,-6.4,16.2,18.8,7.8,-15.5,6.3,35
Federal government taxes receivable by governments asset,-9.3,15.2,33.9,16.9,13.2,83.6,-11.4,-34.7,15.3,69.2,-33.0,36
Federal government total miscellaneous financial claims asset,1.3,0.0,1.4,0.6,-1.4,-4.1,-1.2,-1.5,1.2,4.7,0.9,37
Federal government total financial liabilities,53.4,286.9,501.0,428.8,363.2,631.7,102.2,328.4,390.4,561.5,-57.6,38
Monetary authority SDR certificates issued by federal government asset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
Federal government treasury currency liability,1.3,1.0,0.6,0.7,0.8,0.8,1.1,0.9,0.3,0.6,0.8,40
Federal government credit market instruments liability,-5.6,257.6,396.0,361.9,306.9,569.7,25.1,263.9,368.9,531.5,-116.1,41
Federal government U.S. savings bonds liability,5.6,4.5,8.9,0.6,0.7,-0.2,0.3,-1.1,3.8,3.8,-2.7,42
