Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Jackie Bradley,Por,10,40,9,14,4,1,0,4,2,1,6,9,0.35,0.447,0.5,0.947
Jeremy Hazelbaker,Por,22,88,17,25,6,0,5,22,7,5,9,26,0.284,0.376,0.523,0.899
Dan Butler,Por,19,63,8,18,4,1,2,8,0,0,12,11,0.286,0.4,0.476,0.876
J.C. Linares,Por,14,56,8,19,4,1,1,5,0,0,3,6,0.339,0.373,0.5,0.873
Bryce Brentz,Por,25,86,12,24,6,0,4,19,0,2,15,29,0.279,0.385,0.488,0.873
Peter Hissey,Por,13,44,5,14,5,1,0,5,5,1,4,9,0.318,0.367,0.477,0.845
Shannon Wilkerson,Por,6,23,2,7,1,0,0,2,2,0,2,3,0.304,0.36,0.348,0.708
Drew Hedman,Por,3,11,3,2,0,0,1,1,0,0,0,2,0.182,0.25,0.455,0.705
Ryan Kalish,Por,2,5,0,1,0,0,0,0,0,0,3,1,0.2,0.5,0.2,0.7
Reynaldo Rodriguez,Por,19,67,7,16,6,0,1,6,0,2,6,19,0.239,0.32,0.373,0.693
Ryan Dent,Por,14,51,9,13,2,0,1,6,1,0,6,9,0.255,0.333,0.353,0.686
Heiker Meneses,Por,6,19,3,5,1,0,0,0,0,0,2,5,0.263,0.333,0.316,0.649
Derrik Gibson,Por,22,77,10,18,2,2,0,6,5,0,8,18,0.234,0.306,0.312,0.618
Oscar Tejeda,Por,15,62,5,14,2,0,2,11,0,0,1,9,0.226,0.25,0.355,0.605
Matt Spring,Por,13,47,2,11,1,0,1,5,0,1,3,10,0.234,0.28,0.319,0.599
Marquez Smith,Por,14,56,4,13,5,0,0,4,0,0,2,9,0.232,0.267,0.321,0.588
Nick Natoli,Por,17,48,4,7,2,0,0,0,0,0,11,11,0.146,0.305,0.188,0.493
Bryan Johns,Por,2,7,1,1,0,0,0,0,1,0,0,3,0.143,0.143,0.143,0.286
Zach Gentile,Por,7,25,4,2,0,0,0,0,0,0,2,3,0.08,0.148,0.08,0.228
Jayson Hernandez,Por,1,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
