CS,3B,SO,Player,SH,Team,GIDP,SF,G
1,2,41,T Story,1,CAS,2,2,47
3,1,85,H Riggins,0,CAS,7,2,67
0,0,27,J Patino,0,GTF,2,2,33
4,1,41,R Garvey,2,HEL,3,3,46
0,1,36,B McMahan,0,HEL,3,1,39
0,0,3,C Lugo,0,ORM,0,0,3
0,0,24,P Maynard,0,OGD,2,1,25
0,0,11,S Selsky,0,BIL,0,0,8
0,2,81,A Edge,1,OGD,1,0,41
1,0,17,D Vicioso,0,BIL,1,2,28
0,0,1,A Ponte,0,OGD,0,0,2
1,1,6,R Pacione,2,ORM,3,0,29
1,2,46,F Hall,0,ORM,4,4,62
0,0,43,K Eveland,7,GTF,2,0,40
0,0,2,D Iden,0,OGD,0,0,5
7,1,81,J Bianco,0,MIS,0,0,54
1,0,8,J Paciorek,1,HEL,0,0,7
1,0,9,B Gowens,0,ORM,2,0,8
5,3,74,J Baldwin,0,OGD,1,1,50
2,1,16,W Hatton,1,ORM,3,0,24
2,0,10,R Ozuna,0,HEL,0,0,12
5,2,62,T Chism,1,IDF,3,5,65
0,0,10,Y Alcantara,0,IDF,5,1,10
3,3,21,J Parr,0,MIS,1,0,34
0,0,39,T Roberts,2,HEL,2,0,42
0,0,29,E Escobar,2,IDF,6,1,48
5,5,72,E Groff,0,MIS,5,3,66
3,2,19,L Piterson,3,IDF,7,2,43
0,2,19,S Diaz,0,BIL,3,0,38
4,3,57,F Sosa,2,CAS,1,1,50
2,2,52,S Mende,1,CAS,1,0,46
1,0,27,D Martinez,8,ORM,6,1,39
2,0,13,B Brown,0,MIS,0,0,11
1,0,29,C Giovinazzo,2,ORM,0,0,28
0,0,16,J Berggren,0,CAS,0,0,15
4,9,65,K Waldrop,1,BIL,5,1,68
0,3,30,J Yakubik,5,ORM,4,1,60
7,3,32,K Muller,4,BIL,0,0,43
4,6,46,T Lindsey,0,ORM,6,1,63
0,1,6,J Schaus,0,OGD,0,0,8
2,2,55,J Hunt,0,OGD,2,0,45
5,2,51,R Thorpe,2,GTF,2,1,46
1,0,18,D Thomas,0,CAS,0,0,15
2,1,35,R De La Cruz,3,CAS,5,1,40
1,1,59,R Espy,1,IDF,4,3,62
1,2,73,R Maddox,0,BIL,7,3,63
1,0,11,J Puentes,1,GTF,2,1,13
0,1,10,F Larson,0,ORM,1,0,15
4,3,70,M Haddow,0,GTF,6,3,70
0,0,5,J Garton,0,BIL,1,0,6
1,2,28,S Dickinson,1,BIL,3,3,29
2,0,6,K Thompson,0,OGD,1,0,11
1,0,19,E Morales,0,OGD,0,1,25
0,1,21,A Reyes,0,CAS,2,1,33
2,1,17,M Ramirez,2,CAS,2,0,24
6,2,43,J Silva,3,BIL,1,0,41
3,1,37,J Gomez,0,MIS,3,2,35
0,1,9,A Muenster,1,BIL,1,0,16
6,2,72,M Walla,1,HEL,6,0,69
0,0,2,M Schwartz,0,GTF,0,0,9
0,0,3,S O'Connell,0,GTF,0,1,5
0,1,24,Y Gonzalez,2,BIL,8,0,38
0,0,6,W Moss,0,MIS,0,0,3
0,2,26,J Boudreaux,1,OGD,3,1,32
3,7,48,R Jones,2,ORM,3,2,67
0,0,1,D Shines,0,OGD,0,0,1
1,1,31,T Hairgrove,2,ORM,3,3,55
4,0,38,C Rodriguez,1,BIL,1,2,34
4,3,81,K Cowart,0,ORM,8,6,72
6,5,55,N Cuevas,0,OGD,1,4,60
1,0,14,S Felix,1,HEL,3,1,19
0,0,9,B Tanner,0,GTF,2,0,9
0,2,62,H Moreno,0,IDF,3,1,59
6,3,85,J Dishon,2,HEL,1,2,57
0,3,51,T Belza,0,MIS,1,0,63
2,4,26,C Elder,1,IDF,1,0,36
2,0,30,S Wingo,0,OGD,1,2,32
4,8,62,R Herrera,1,CAS,2,1,63
0,0,11,N DelGuidice,0,IDF,2,1,17
0,0,0,P Krebs,0,IDF,0,0,2
0,0,10,R Jenkins,0,IDF,1,0,13
5,1,17,K Walker,0,GTF,0,1,15
1,1,46,R Aguila,0,MIS,6,0,53
2,3,54,J De Pinto,0,GTF,4,3,68
4,3,67,M Threlkeld,1,IDF,3,2,57
1,0,28,M Medina,4,GTF,2,6,38
4,3,41,K Allison,2,HEL,2,0,43
0,0,0,L Odom,0,ORM,0,0,0
3,2,61,D Herbek,3,GTF,10,3,70
