Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 1,Chowan,"L, 7-1",-,-,-,-,-,-,-,-,-,-,-
Feb 2,Chowan,"W, 12-3",-,-,-,-,-,-,-,-,-,-,-
Feb 2,Chowan,"W, 6-2",-,-,-,-,-,-,-,-,-,-,-
Feb 7,at Wingate,"L, 10-1",-,-,-,-,-,-,-,-,-,-,-
Feb 8,at Wingate,"W, 3-1",-,-,-,-,-,-,-,-,-,-,-
Feb 8,at Wingate,"L, 6-5",-,-,-,-,-,-,-,-,-,-,-
Feb 12,Claflin, ,-,-,-,-,-,-,-,-,-,-,-
Feb 15,at Limestone, ,-,-,-,-,-,-,-,-,-,-,-
Feb 16,Limestone,"W, 13-6",-,-,-,-,-,-,-,-,-,-,-
Feb 18,Barton,"W, 6-2",-,-,-,-,-,-,-,-,-,-,-
Feb 22,Mars Hill,"W, 6-4",-,-,-,-,-,-,-,-,-,-,-
Feb 22,Mars Hill,"W, 6-2",-,-,-,-,-,-,-,-,-,-,-
Feb 23,Mars Hill,"W, 10-2",-,-,-,-,-,-,-,-,-,-,-
Feb 25,at Barton,"W, 2-1",-,-,-,-,-,-,-,-,-,-,-
Feb 28,at Anderson (S.C.),"L, 9-5",-,-,-,-,-,-,-,-,-,-,-
Mar 1,at Anderson (S.C.),"L, 6-3",-,-,-,-,-,-,-,-,-,-,-
Mar 1,at Anderson (S.C.),"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 5,at St. Andrews,"W, 5-1",-,-,-,-,-,-,-,-,-,-,-
Mar 8,Lenoir-Rhyne, ,-,-,-,-,-,-,-,-,-,-,-
Mar 9,Lenoir-Rhyne,"L, 2-0",-,-,-,-,-,-,-,-,-,-,-
Mar 9,Lenoir-Rhyne,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 11,at Claflin,"L, 6-5",-,-,-,-,-,-,-,-,-,-,-
Mar 11,at Claflin,"W, 28-0",-,-,-,-,-,-,-,-,-,-,-
Mar 14,Carson-Newman,"W, 9-3",-,-,-,-,-,-,-,-,-,-,-
Mar 15,Carson-Newman,"L, 7-6",-,-,-,-,-,-,-,-,-,-,-
Mar 15,Carson-Newman,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 17,Clarion,"W, 5-0",-,-,-,-,-,-,-,-,-,-,-
Mar 17,Clarion,"W, 7-3",-,-,-,-,-,-,-,-,-,-,-
Mar 19,UNC Pembroke, ,-,-,-,-,-,-,-,-,-,-,-
Mar 21,at Catawba,"L, 9-1",-,-,-,-,-,-,-,-,-,-,-
Mar 22,at Catawba,"L, 12-8",-,-,-,-,-,-,-,-,-,-,-
Mar 22,at Catawba,"L, 7-3",-,-,-,-,-,-,-,-,-,-,-
Mar 29,at Tusculum,"L, 9-6",-,-,-,-,-,-,-,-,-,-,-
Mar 30,at Tusculum,"L, 5-1",-,-,-,-,-,-,-,-,-,-,-
Mar 30,at Tusculum,"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
Apr 1,St. Andrews,"W, 8-0",-,-,-,-,-,-,-,-,-,-,-
Apr 2,St. Augustine's, ,-,-,-,-,-,-,-,-,-,-,-
Apr 5,at Lincoln Memorial,"L, 6-5",-,-,-,-,-,-,-,-,-,-,-
Apr 5,at Lincoln Memorial,"W, 6-4",-,-,-,-,-,-,-,-,-,-,-
Apr 6,at Lincoln Memorial,"L, 7-3",-,-,-,-,-,-,-,-,-,-,-
Apr 8,UNC Pembroke,"W, 8-7",-,-,-,-,-,-,-,-,-,-,-
Apr 9,at UNC Pembroke,"L, 11-2",-,-,-,-,-,-,-,-,-,-,-
Apr 11,Newberry,"L, 8-5",-,-,-,-,-,-,-,-,-,-,-
Apr 12,Newberry,"L, 6-3",-,-,-,-,-,-,-,-,-,-,-
Apr 12,Newberry,"L, 5-3",-,-,-,-,-,-,-,-,-,-,-
Apr 15,at Belmont Abbey, ,-,-,-,-,-,-,-,-,-,-,-
Apr 16,GRU Augusta,"W, 7-0",-,-,-,-,-,-,-,-,-,-,-
Apr 18,Brevard,"L, 14-2",-,-,-,-,-,-,-,-,-,-,-
Apr 19,Brevard, ,-,-,-,-,-,-,-,-,-,-,-
Apr 19,Brevard, ,-,-,-,-,-,-,-,-,-,-,-
Apr 21,at St. Augustine's, ,-,-,-,-,-,-,-,-,-,-,-
