eFG%,BLK%,Date,ORB%,TRB%,STL%,DRB%,Rk,AST%
.000,0.0,2004-03-16,0.0,0.0,0.0,0.0,40,0.0
.000,0.0,2003-12-31,0.0,0.0,0.0,0.0,15,0.0
 ,0.0,2003-11-25,0.0,0.0,0.0,0.0,12,0.0
 ,0.0,2004-02-02,0.0,0.0,0.0,0.0,26,61.5
.833,0.0,2003-11-07,21.3,11.4,0.0,0.0,5,0.0
.250,0.0,2003-11-09,0.0,0.0,4.0,0.0,6,0.0
 ,0.0,2004-01-20,0.0,0.0,0.0,0.0,20,0.0
 ,0.0,2004-03-12,0.0,0.0,0.0,0.0,38,0.0
.000,0.0,2004-03-10,0.0,0.0,0.0,0.0,37,0.0
.000,0.0,2003-11-22,0.0,14.8,12.6,27.4,11,29.1
1.333,0.0,2004-04-06,0.0,0.0,0.0,0.0,51,12.8
.500,0.0,2004-04-09,0.0,13.0,0.0,22.3,53,0.0
.000,0.0,2004-03-18,0.0,0.0,0.0,0.0,41,0.0
.000,0.0,2003-11-14,0.0,23.4,10.4,50.5,8,0.0
.250,0.0,2004-03-14,0.0,7.0,0.0,13.6,39,0.0
1.000,0.0,2004-04-11,0.0,0.0,0.0,0.0,54,0.0
1.333,0.0,2004-02-29,0.0,0.0,0.0,0.0,32,0.0
.000,0.0,2004-02-18,0.0,24.2,0.0,42.9,29,0.0
.000,0.0,2004-02-06,0.0,0.0,0.0,0.0,27,15.4
.333,0.0,2004-03-07,0.0,0.0,3.1,0.0,36,9.3
1.000,0.0,2003-11-06,0.0,0.0,0.0,0.0,4,0.0
.250,0.0,2003-10-31,0.0,3.8,0.0,6.8,1,0.0
 ,0.0,2004-01-14,0.0,0.0,0.0,0.0,19,0.0
 ,0.0,2004-03-31,0.0,0.0,0.0,0.0,48,0.0
.000,0.0,2004-01-09,0.0,15.4,0.0,37.5,18,0.0
.000,0.0,2004-03-27,0.0,0.0,0.0,0.0,46,0.0
.000,0.0,2004-01-02,0.0,0.0,0.0,0.0,16,0.0
.778,0.0,2004-04-12,12.7,11.0,0.0,8.6,55,0.0
.833,0.0,2003-11-18,0.0,7.3,0.0,13.3,10,0.0
1.000,0.0,2004-01-25,0.0,0.0,0.0,0.0,23,0.0
