Game Date,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
2000-07-18,DET,CIN,L 4-5 vs CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1st career game
2000-07-22,DET,KCA,L 5-8 vs KCA,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1st career RBI
2001-09-19,DET,MIN,W 6-2 @MIN,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1st career hit
2001-10-03,DET,MIN,W 9-5 vs MIN,4,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,17,1st career home run
2003-05-05,DET,BAL,W 6-1 @BAL,4,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,64,1st career stolen base
2004-04-23,DET,CLE,W 17-3 vs CLE,3,4,2,0,0,1,4,0,0,2,0,0,0,0,0,0,151,4 runs scored
2004-04-28,DET,ANA,W 10-2 vs ANA,5,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,155,4 strikeouts
2004-05-31,DET,KCA,W 8-4 vs KCA,4,2,2,0,0,2,3,0,0,0,0,0,0,0,0,0,176,2 home runs
2004-08-08,DET,BOS,L 9-11 vs BOS,4,2,2,0,0,2,3,0,0,0,1,0,0,0,0,0,221,2 home runs
2006-06-11,HOU,ATL,W 14-4 vs ATL,5,2,2,0,0,2,4,0,0,0,1,0,0,0,0,1,278,2 home runs
2006-07-02,HOU,TEX,W 9-5 @TEX,5,0,3,1,0,0,5,0,0,0,1,0,0,0,0,0,286,5 RBIs
