DRB%,GS,MP,Age,TS%,DRtg,GmSc,Rk,Tm
0.0,0,23:00,27-262,.500,125,2.3,24,ORL
28.1,0,18:00,28-001,.340,126,3.3,54,ORL
16.1,1,46:00,28-011,.478,118,7.4,59,ORL
36.5,1,32:00,28-009,.635,118,10.9,58,ORL
52.2,0,4:00,27-241, ,108,0.2,16,ORL
0.0,0,15:00,27-215,.000,123,-3.8,3,ORL
21.7,0,24:00,27-300,.429,101,4.6,33,ORL
20.2,0,25:00,27-216,.200,134,-0.4,4,ORL
28.0,0,24:00,27-252,.470,104,6.4,21,ORL
43.2,0,3:00,27-283, ,122,0.3,29,ORL
24.4,1,24:00,27-364,.500,120,5.7,53,ORL
0.0,0,14:00,27-318,.322,135,1.4,35,ORL
14.4,1,37:00,27-362,.364,124,3.9,52,ORL
13.2,1,28:00,27-337,.462,132,4.0,41,ORL
53.3,0,2:00,27-271,.000,110,-0.4,26,ORL
29.3,0,12:00,27-353,1.000,107,3.1,47,ORL
26.0,0,26:00,27-213,.625,95,8.9,2,ORL
9.5,1,39:00,27-357,.464,127,10.6,49,ORL
19.0,0,18:00,28-004,.714,116,7.2,55,ORL
20.0,0,16:00,27-236,.258,118,0.3,14,ORL
14.1,1,17:00,27-343,.200,127,-3.3,44,ORL
14.1,0,20:00,27-277,.479,120,6.5,28,ORL
0.0,0,5:00,27-245, ,116,-0.4,18,ORL
19.2,0,25:00,27-249,.625,119,8.9,19,ORL
17.8,1,48:00,27-361,.500,113,7.9,51,ORL
0.0,0,10:00,27-323,.200,128,-1.8,38,ORL
