Name,Country,sex,tour,sl,tr,ju,yob,class,round,date,place,site id,line/ramp,speed
COETZEE Wico,NAM,M,09RSA02,0.0,0,0.0,1993,L,1,12/06/2008,4,RSA00003,1.50@18.250,52
COETZEE Wico,NAM,M,09RSA02,0.0,0,0.0,1993,L,2,12/06/2008,4,RSA00003,5.00@18.250,55
COETZEE Wico,NAM,M,09RSA02,0.0,0,0.0,1993,L,3,12/06/2008,4,RSA00003,4.00@18.250,55
COHEN Jaryd,RSA,M,09RSA02,5.0,0,0.0,1993,L,1,12/06/2008,3,RSA00003,5.00@18.250,58
COHEN Jaryd,RSA,M,09RSA02,37.5,0,0.0,1993,L,2,12/06/2008,3,RSA00003,1.50@14.250,58
COHEN Jaryd,RSA,M,09RSA02,0.0,0,0.0,1993,L,3,12/06/2008,3,RSA00003,0.00@18.250,46
FISHER Jared,RSA,M,09RSA02,39.0,0,0.0,1992,L,1,12/06/2008,1,RSA00003,3.00@14.250,58
FISHER Jared,RSA,M,09RSA02,38.5,0,0.0,1992,L,2,12/06/2008,1,RSA00003,2.50@14.250,58
FISHER Jared,RSA,M,09RSA02,39.25,0,0.0,1992,L,3,12/06/2008,1,RSA00003,3.25@14.250,58
MARTIN Samantha,RSA,F,09RSA02,38.5,0,0.0,1983,L,1,12/06/2008,1,RSA00003,2.50@14.250,55
MARTIN Samantha,RSA,F,09RSA02,44.0,0,0.0,1983,L,2,12/06/2008,1,RSA00003,2.00@13.000,55
MARTIN Samantha,RSA,F,09RSA02,44.0,0,0.0,1983,L,3,12/06/2008,1,RSA00003,2.00@13.000,55
NIEUWSTAD Matthew,RSA,M,09RSA02,36.5,0,0.0,1991,L,1,12/06/2008,2,RSA00003,0.50@14.250,58
NIEUWSTAD Matthew,RSA,M,09RSA02,39.0,0,0.0,1991,L,2,12/06/2008,2,RSA00003,3.00@14.250,58
NIEUWSTAD Matthew,RSA,M,09RSA02,6.0,0,0.0,1991,L,3,12/06/2008,2,RSA00003,6.00@18.250,58
REIN Cameron,RSA,M,09RSA02,37.5,0,0.0,1981,L,1,12/06/2008,1,RSA00003,1.50@14.250,58
REIN Cameron,RSA,M,09RSA02,38.0,0,0.0,1981,L,2,12/06/2008,1,RSA00003,2.00@14.250,58
REIN Cameron,RSA,M,09RSA02,38.0,0,0.0,1981,L,3,12/06/2008,1,RSA00003,2.00@14.250,58
R�TTCHER Gerald,NAM,M,09RSA02,0.0,0,0.0,1967,L,1,12/06/2008,2,RSA00003,3.00@18.250,49
R�TTCHER Gerald,NAM,M,09RSA02,0.0,0,0.0,1967,L,2,12/06/2008,2,RSA00003,5.00@18.250,34
R�TTCHER Gerald,NAM,M,09RSA02,0.0,0,0.0,1967,L,3,12/06/2008,2,RSA00003,3.00@18.250,43
R�TTCHER Natascha,NAM,F,09RSA02,0.0,0,0.0,1995,L,1,12/06/2008,10,RSA00003,3.00@18.250,52
R�TTCHER Natascha,NAM,F,09RSA02,0.0,0,0.0,1995,L,2,12/06/2008,10,RSA00003,5.00@18.250,49
R�TTCHER Natascha,NAM,F,09RSA02,0.0,0,0.0,1995,L,3,12/06/2008,10,RSA00003,3.00@18.250,49
STAM Andrew,RSA,M,09RSA02,0.0,0,0.0,1970,L,1,12/06/2008,1,RSA00003,3.00@18.250,34
STAM Andrew,RSA,M,09RSA02,38.0,0,0.0,1970,L,2,12/06/2008,1,RSA00003,2.00@14.250,55
STAM Andrew,RSA,M,09RSA02,0.0,0,0.0,1970,L,3,12/06/2008,1,RSA00003,3.00@18.250,43
VAN DER MERWE Eamon,RSA,M,09RSA02,0.0,0,0.0,1996,L,1,12/06/2008,1,RSA00003,3.00@16.000,52
VAN DER MERWE Eamon,RSA,M,09RSA02,0.0,0,0.0,1996,L,2,12/06/2008,1,RSA00003,1.50@16.000,52
VAN DER MERWE Eamon,RSA,M,09RSA02,0.0,0,0.0,1996,L,3,12/06/2008,1,RSA00003,1.00@16.000,52
VILJOEN Anton,RSA,M,09RSA02,50.5,0,0.0,1962,L,1,12/06/2008,1,RSA00003,2.50@12.000,55
VILJOEN Anton,RSA,M,09RSA02,44.5,0,0.0,1962,L,2,12/06/2008,1,RSA00003,2.50@13.000,55
VILJOEN Anton,RSA,M,09RSA02,49.25,0,0.0,1962,L,3,12/06/2008,1,RSA00003,1.25@12.000,55
VILJOEN Gabriella,RSA,F,09RSA02,45.0,0,0.0,1992,L,1,12/06/2008,1,RSA00003,3.00@13.000,55
VILJOEN Gabriella,RSA,F,09RSA02,40.0,0,0.0,1992,L,2,12/06/2008,1,RSA00003,4.00@14.250,55
VILJOEN Gabriella,RSA,F,09RSA02,45.0,0,0.0,1992,L,3,12/06/2008,1,RSA00003,3.00@13.000,55
