ORB%,GS,STL%,ORtg,TOV%,BLK%,TRB%
17.1,0,6.6,126,0.0,0.0,19.0
0.0,0,0.0,123,0.0,0.0,0.0
0.0,0,11.2,91,0.0,0.0,7.0
32.6,0,3.5,141,0.0,0.0,18.1
0.0,0,0.0,0,0.0,0.0,0.0
0.0,0,0.0,24,33.3,0.0,13.3
0.0,0,0.0, , ,0.0,0.0
18.8,0,2.0,116,8.8,0.0,21.8
8.1,0,5.4,92,16.7,3.3,6.4
23.5,0,0.0,36,0.0,0.0,13.0
0.0,0,0.0,0,100.0,0.0,27.0
0.0,0,8.3,153,0.0,0.0,0.0
18.0,0,0.0,144,0.0,0.0,8.0
13.3,0,2.2,204,0.0,0.0,17.5
9.8,0,4.2,122,17.7,0.0,27.9
0.0,0,0.0,0,50.0,0.0,0.0
9.0,0,0.0,74,11.1,0.0,6.8
4.3,1,1.9,83,10.7,2.4,13.7
17.8,1,2.0,122,14.7,0.0,15.4
8.0,0,0.0,125,0.0,0.0,8.0
0.0,0,0.0, , ,0.0,0.0
0.0,0,1.9,101,12.7,0.0,9.3
0.0,0,3.3,84,33.3,0.0,15.5
30.8,0,0.0,145,0.0,0.0,15.8
14.3,0,0.0,109,0.0,0.0,7.8
5.8,0,3.1,52,20.5,0.0,13.7
15.3,0,4.5,112,0.0,0.0,14.4
12.8,0,0.0,42,50.0,0.0,5.9
9.5,0,0.0,95,16.7,0.0,5.1
5.7,0,2.7,113,26.9,0.0,15.0
13.7,0,0.0,123,0.0,0.0,20.8
