TS%,Opp,ORtg,TOV%,TRB%
.239,MEM,42,22.3,3.7
.355,HOU,70,15.1,4.8
.266,MEM,57,34.7,0.0
.500,TOR,138,0.0,10.2
 ,GSW, , ,0.0
.735,CHA,106,29.6,5.1
.253,ATL,83,0.0,16.0
1.000,CLE,203,0.0,6.5
.000,NYK,0,0.0,0.0
 ,HOU, , ,10.1
.717,DEN,136,17.0,10.4
 ,DET, , ,0.0
.694,SEA,169,0.0,9.9
.000,TOR,0,0.0,0.0
.644,MIA,136,0.0,7.4
.465,GSW,71,31.7,7.1
.410,GSW,88,0.0,4.5
1.000,SEA,127,33.3,12.2
.286,NJN,59,0.0,9.1
.926,GSW,190,0.0,5.3
 ,ATL, , ,0.0
.714,WAS,122,12.5,6.8
.174,ATL,41,0.0,0.0
.000,SAS,0,0.0,0.0
.521,SAS,114,0.0,6.3
.420,DET,119,0.0,7.1
.517,DEN,110,0.0,4.8
.563,PHO,109,18.4,31.2
 ,DAL, , ,0.0
.307,MIN,74,0.0,10.7
.436,LAL,100,0.0,5.0
.347,CHI,76,0.0,13.3
.667,TOR,94,25.0,2.5
.608,MEM,84,34.2,5.7
.205,POR,48,0.0,0.0
.000,NOK,0,33.3,0.0
.436,CHA,69,22.5,17.8
