Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Aug 31,at Catholic,"L, 45-28",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 8,at Moravian,"L, 21-7",1,0,1,-,-,0,-,-,-,-,-,-,-,-
Sep 15,Muhlenberg,"L, 33-0",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 22,Ursinus,"L, 40-21",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 29,at Gettysburg,"L, 35-3",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 13,at Franklin & Marshall,"L, 35-10",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 20,Dickinson,"L, 38-31",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 27,at Juniata,"L, 24-7",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 3,Susquehanna,"L, 42-38",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 10,at Johns Hopkins,"L, 49-7",-,-,0,-,-,0,-,-,-,-,-,-,-,-
