Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
R Simon,VRA,1B,.299,69,264,32,79,13,0,11,43,29,21,0,0,0,3,9,.369,.473,.843
M Valdez,VAQ,1B,.372,78,266,54,99,23,0,7,45,54,37,1,0,2,2,6,.485,.538,1.022
M Lopez,MTY,1B,.304,90,306,65,93,18,1,21,67,57,74,0,0,0,4,7,.410,.575,.985
I Alcantara,YUC,1B,.279,60,222,37,62,17,0,13,36,31,53,1,0,0,0,5,.373,.532,.904
J Toca,MVA,1B,.261,12,46,4,12,5,0,0,10,3,3,0,0,0,1,2,.300,.370,.670
K Pellow,SLT,1B,.322,94,360,85,116,19,0,29,83,40,82,3,0,0,2,4,.427,.617,1.043
C Rivera,OAX,1B,.410,101,361,75,148,26,0,16,73,70,43,3,2,0,1,11,.511,.615,1.126
B Jacobsen,TAB,1B,.229,9,35,1,8,1,0,1,7,3,7,0,0,0,0,0,.289,.343,.632
S Adriana,TAB,1B,.351,102,379,70,133,22,2,10,64,52,54,22,15,0,5,14,.442,.499,.941
C Williams,TIJ,1B,.220,12,41,4,9,2,0,3,12,4,10,0,0,0,1,1,.283,.488,.770
J Yan,AGU,1B,.291,106,406,79,118,25,0,30,90,49,89,8,1,2,1,6,.370,.574,.944
C Garcia,MTY,1B,.262,70,221,36,58,8,1,3,31,32,44,3,4,6,2,3,.355,.348,.704
J Perez,MVA,1B,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--
F Mendez,CHI,1B,.340,104,388,73,132,23,0,24,81,70,71,2,0,0,3,13,.438,.585,1.023
R Lopez,MXO,1B,.263,76,262,36,69,12,0,7,33,28,34,0,2,0,2,10,.334,.389,.724
D Fornes,MXO,1B,.295,97,342,65,101,26,1,16,67,60,45,0,0,1,4,7,.405,.518,.923
H Castaneda,YUC,1B,.283,85,226,32,64,11,0,2,23,43,44,3,3,6,2,5,.412,.358,.771
J Canizales,VAQ,1B,.318,96,390,56,124,26,0,3,41,34,31,4,0,5,3,14,.374,.408,.782
R Castaneda,VAQ,1B,.260,74,204,30,53,11,0,7,29,18,20,0,0,1,2,13,.323,.417,.740
P Diaz,MVA,1B,.335,87,316,48,106,18,3,10,53,21,35,7,4,3,2,9,.389,.506,.895
P Iturbe,PUE,1B,.319,85,339,53,108,18,0,6,55,12,37,0,0,4,3,16,.350,.425,.775
R Macias,AGU,1B,.254,31,63,6,16,0,0,0,5,5,17,0,0,1,1,1,.304,.254,.558
R Martinez,TIJ,1B,.250,44,164,13,41,6,1,5,30,14,32,2,3,0,4,7,.306,.390,.696
A Valencia,CAM,1B,.289,89,308,35,89,19,1,5,31,18,56,0,3,4,2,16,.340,.406,.746
J Vazquez,QR,1B,.323,58,223,45,72,12,0,17,49,18,60,0,0,0,2,7,.383,.605,.988
F Alejos,YUC,1B,.266,65,184,28,49,6,1,1,23,21,27,1,1,4,1,7,.349,.326,.675
C Morales,TAB,1B,.200,8,15,1,3,1,0,0,1,0,8,0,0,0,0,2,.200,.267,.467
J Amador,MIN,1B,.200,29,55,6,11,1,0,0,6,12,12,0,0,0,0,8,.343,.218,.561
