Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Aug 31,at South Dakota St.,"L, 55-14",1,2,3,-,-,0,-,-,-,-,-,-,-,-
Sep 7,Wittenberg,"W, 49-24",3,4,7,-,-,0,-,-,-,-,-,-,-,-
Sep 14,at Franklin,"W, 31-28",4,2,6,1,6,2,-,-,-,-,-,1,-,-
Sep 21,Dartmouth,"L, 30-23",3,3,6,-,-,0,-,-,-,-,-,-,-,-
Sep 28,at Jacksonville,"W, 45-27",4,1,5,1,6,1,-,1,1,-,-,-,-,-
Oct 5,Stetson,"W, 35-15",1,1,2,-,-,0.5,-,-,-,-,-,-,-,-
Oct 12,Campbell,"W, 35-14",1,4,5,-,-,0,15,-,-,0,1,-,-,-
Oct 19,Drake,"W, 24-14",5,2,7,-,-,2,-,-,-,-,-,-,-,-
Oct 26,at San Diego,"L, 42-14",2,3,5,-,-,0,-,-,-,-,-,-,-,-
Nov 2,at Dayton,"W, 33-30",3,3,6,-,-,1.5,-,-,1,-,-,-,-,-
Nov 9,Valparaiso,"W, 72-12",1,3,4,-,-,0,-,-,-,-,-,-,-,-
Nov 16,at Morehead State,"W, 58-27",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 30,Tennessee State,"L, 31-0",2,0,2,-,-,0,-,-,-,-,-,-,-,-
