iCorsi/60,Points,G/60
6.29,0,0.00
15.62,5,0.52
19.83,5,0.64
26.13,22,2.36
24.96,13,1.90
19.54,8,0.95
15.45,17,0.21
22.54,22,1.36
7.78,4,0.56
13.52,1,0.00
34.12,21,1.54
25.76,8,0.00
22.57,21,2.23
19.31,8,1.43
20.78,14,1.89
19.07,5,0.71
21.69,2,0.53
20.36,15,1.26
20.71,12,1.05
34.34,14,1.66
19.74,8,1.23
20.90,17,1.07
8.92,5,0.00
19.48,13,0.68
18.10,2,0.45
19.10,14,0.70
16.55,5,0.00
21.80,13,1.06
16.09,2,1.53
33.06,27,1.36
11.66,4,0.58
28.78,14,0.94
19.87,20,2.02
25.56,14,1.01
20.50,18,1.98
24.24,6,1.19
17.92,11,0.24
23.76,20,0.90
15.29,3,0.90
25.57,4,2.95
32.67,21,1.89
8.85,6,2.21
14.42,9,1.31
16.29,4,1.29
15.65,21,2.61
10.08,10,1.53
29.39,4,0.45
15.33,13,1.67
12.93,2,1.44
7.68,4,1.15
11.82,3,0.64
17.04,16,3.16
20.61,2,0.00
8.73,2,0.00
19.43,15,3.35
13.77,2,0.77
21.34,0,0.00
13.32,12,0.97
25.14,6,1.24
14.48,5,0.60
19.78,11,3.00
21.70,8,0.41
14.23,17,2.03
14.28,11,0.62
21.86,15,2.69
21.43,7,0.82
18.77,3,0.00
25.43,13,2.06
28.64,13,0.97
14.42,13,0.33
23.73,1,0.91
18.13,3,0.52
27.37,19,1.79
17.54,19,0.35
19.19,0,0.00
15.67,19,2.14
8.71,5,0.87
23.41,2,1.34
13.66,8,0.36
22.36,6,2.58
10.72,1,0.54
33.80,11,3.70
20.70,7,2.80
14.28,13,0.78
23.75,26,0.74
11.40,9,0.91
19.84,16,1.44
21.46,7,3.73
15.17,8,2.59
22.96,0,0.00
30.33,9,1.99
19.53,16,2.10
15.32,11,2.24
20.12,9,2.12
13.83,2,0.99
18.00,16,2.31
22.39,7,1.36
37.72,6,0.88
19.25,14,1.43
19.68,9,0.68
17.20,8,1.72
17.69,10,2.46
18.79,10,0.35
16.49,12,0.87
12.21,6,1.66
18.60,9,0.25
25.62,24,0.47
10.66,7,2.13
20.31,19,0.73
22.35,7,0.53
8.00,13,0.70
18.76,12,0.56
19.46,9,0.97
19.58,18,1.88
12.61,6,0.53
14.98,4,0.37
20.76,2,2.19
21.75,9,0.58
21.20,5,0.74
18.66,18,1.10
19.12,6,0.74
18.92,1,0.00
22.73,16,1.20
27.51,16,2.01
21.06,5,0.68
10.85,4,1.09
10.07,3,0.50
21.35,3,2.37
9.13,4,1.66
12.61,1,0.00
9.33,1,0.00
9.66,13,1.16
15.57,1,1.20
9.03,8,0.86
15.13,20,1.61
15.73,12,1.85
19.12,12,0.60
32.08,3,1.39
12.59,12,2.59
28.93,4,0.86
16.49,9,1.69
22.78,16,0.91
14.87,3,0.00
25.10,6,0.56
18.03,14,1.44
22.61,3,0.00
27.34,2,0.00
25.86,21,4.02
25.16,16,1.57
13.06,7,0.67
18.29,9,2.18
30.24,18,1.97
18.17,6,0.91
28.00,6,0.00
20.54,21,2.74
35.67,19,0.65
8.21,0,0.00
23.06,16,1.55
26.09,24,2.84
26.46,5,0.33
35.26,23,1.91
13.06,6,1.09
5.65,13,0.30
14.87,3,0.00
16.28,4,0.65
17.60,42,1.27
13.48,11,0.71
20.34,8,1.10
18.48,2,0.00
8.25,1,0.00
16.81,17,2.02
21.68,6,1.91
23.64,4,0.70
20.62,1,0.00
22.37,1,0.00
15.28,12,1.73
29.49,14,2.41
18.29,6,0.00
6.29,13,0.73
31.99,2,0.00
