G,Player,R,SLG,SH,RBI,SB,H,SO
108,T House,46,.210,7,27,27,66,81
20,J Gulliver,6,.216,1,3,2,8,12
127,R Price,85,.407,5,44,16,121,63
63,C Lara,35,.362,4,22,4,57,43
68,N Roberts,55,.446,3,34,9,67,48
97,T Barnhart,47,.387,3,43,2,89,59
6,W Olabisi,1,.211,0,2,0,4,7
36,S Borges,16,.353,2,15,1,31,32
92,M Pericht,34,.445,0,37,2,84,92
85,T Bowe,45,.320,3,24,20,65,62
4,L Hurtado,0,.313,0,4,0,5,3
23,F Larson,10,.430,1,6,0,28,21
68,M Nidiffer,27,.382,4,24,2,47,61
16,C Giovinazzo,6,.167,0,3,1,11,23
48,F Pfister,15,.240,1,14,2,28,26
1,B Howell,0,--,0,0,0,0,0
15,H Dunn,2,.156,0,0,0,4,11
53,J Krizan,13,.321,7,19,1,44,30
100,A Phillips,36,.266,14,25,23,63,77
19,J Yakubik,4,.258,0,4,0,15,11
22,E Gomez,2,.247,0,5,0,14,30
122,L Castillo,46,.350,14,38,5,125,69
6,C Garfield,3,.176,0,2,0,2,3
81,C Cuthbert,33,.397,0,51,2,80,65
84,R Pineda,37,.373,2,29,6,67,63
46,G Garcia,20,.353,2,10,4,41,24
28,R Morla,7,.255,1,7,5,18,28
68,M Nuzzo,33,.380,0,32,4,69,67
130,J Garcia,58,.420,2,63,2,106,133
87,E Quiles,27,.279,3,27,1,63,64
31,M Montero,10,.349,0,11,0,21,26
26,D Eichelberger,10,.267,0,11,3,16,13
10,H Choi,5,.308,0,2,0,5,9
123,D Lutz,85,.492,0,75,5,140,125
83,J Rowland,31,.369,8,19,7,62,83
116,S Romero,62,.462,1,65,16,120,69
97,N Longmire,53,.367,0,42,10,89,83
1,K Collado,0,--,0,0,0,0,0
14,D Killian,3,.239,0,2,2,6,24
108,R Gomez,42,.338,1,50,2,107,39
30,A Heid,15,.310,0,10,7,34,21
87,E Soto,35,.302,11,24,4,83,58
35,J Graterol,5,.228,2,6,0,25,12
21,J Ashenbrenner,10,.344,1,6,0,18,14
3,S Choo,0,.000,0,1,0,0,2
101,C Hawn,56,.406,3,50,3,111,85
94,A Kirby-Jones,45,.415,0,50,1,78,101
8,J Garton,3,.192,0,1,0,4,14
26,K Muller,15,.330,0,7,8,23,14
27,C Tyrell,16,.375,0,10,0,17,23
6,D Tate,3,.421,0,2,2,6,3
23,R Williams,14,.447,1,9,0,24,10
81,C Ramirez,32,.312,13,25,9,60,50
54,S Burruel,11,.244,1,10,1,35,36
32,B May,8,.259,0,6,0,20,40
91,Y Espinal,30,.263,7,24,15,61,97
