AST%,DRB%,BLK%,USG%,Age,Rk,GS,eFG%
15.2,0.0,3.1,10.0,23-088,52,0,.750
0.0,0.0,0.0,35.6,23-093,54,0,.286
0.0,15.8,0.0,19.9,23-082,49,0,.600
0.0,0.0,0.0,9.7,22-344,20,0,.000
0.0,0.0,0.0,54.5,23-042,32,0,.750
12.6,0.0,0.0,17.5,23-087,51,0,.250
0.0,0.0,3.7,21.6,22-322,10,0,.500
16.7,0.0,3.5,18.6,23-094,55,0,.500
0.0,0.0,0.0,0.0,23-040,31,0, 
0.0,8.0,0.0,20.6,23-105,60,0,.600
0.0,0.0,8.5,24.1,22-352,24,0,.250
0.0,0.0,0.0,39.6,23-018,26,0,.000
0.0,8.6,0.0,23.5,23-091,53,0,.250
54.5,0.0,0.0,41.3,23-052,35,0,.571
0.0,0.0,0.0,6.6,23-031,28,0,.000
0.0,0.0,0.0,31.2,23-072,44,0,.000
0.0,32.0,0.0,26.1,22-341,18,1,.250
0.0,0.0,0.0,28.3,22-321,9,0,.667
38.4,7.3,0.0,27.1,22-312,5,0,.429
0.0,0.0,0.0,40.4,22-342,19,1,.000
0.0,16.3,0.0,15.9,22-309,4,0,.500
0.0,0.0,0.0,42.5,23-057,36,0,.333
0.0,34.3,0.0,24.5,23-061,38,0,1.000
0.0,0.0,0.0,0.0,23-080,48,0, 
0.0,0.0,0.0,0.0,23-049,33,0, 
0.0,31.2,10.4,25.3,23-076,46,0,.200
0.0,0.0,0.0,40.2,23-033,29,0,.000
0.0,0.0,0.0,0.0,22-302,1,0, 
20.3,0.0,5.3,26.9,23-064,40,0,.500
11.9,20.9,3.7,29.2,23-070,43,0,.500
