Game Date,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
1997-04-01,CIN,COL,W 11-4 vs COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1st career game
1997-04-12,CIN,FLO,W 2-1 vs FLO,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,"1st career hit, 1st career RBI"
1997-04-13,CIN,FLO,W 6-4 vs FLO,3,2,1,0,0,1,3,0,0,0,1,1,0,0,0,0,3,1st career home run
1997-05-18,CIN,SDN,W 5-0 vs SDN,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,18,1st career stolen base
1999-05-29,CIN,FLO,W 8-1 @FLO,5,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,230,4 hits
1999-06-22,CIN,ARI,W 8-7 @ARI,6,3,5,1,1,0,1,1,1,0,0,0,0,0,0,0,252,5 hits
1999-10-01,CIN,MIL,L 3-4 @MIL,2,1,2,0,0,0,0,3,0,2,0,0,0,0,0,0,333,3 stolen bases
2000-04-05,CIN,MIL,L 5-8 vs MIL,5,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,339,4 hits
2000-04-14,CIN,LAN,L 1-8 @LAN,4,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,346,4 hits
2000-04-20,CIN,SFN,W 11-1 vs SFN,5,2,5,1,0,0,3,0,0,0,0,0,0,0,0,0,351,5 hits
2001-05-08,CIN,ARI,L 3-4 @ARI,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,500,500th career game
2001-05-09,CIN,ARI,L 2-5 @ARI,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,501,100th career stolen base
2002-09-17,PIT,CIN,W 11-3 vs CIN,6,0,4,0,0,0,5,0,1,0,0,0,0,0,0,0,711,"5 RBIs, 4 hits"
2003-04-18,PIT,CHN,L 2-7 vs CHN,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,736,4 strikeouts
2004-05-08,BOS,KCA,W 9-1 vs KCA,4,2,2,0,0,2,3,0,0,0,1,0,0,0,0,0,784,2 home runs
2004-07-08,BOS,OAK,W 8-7 vs OAK,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,828,4 strikeouts
