Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
P Konerko,BIR,1B,.400,3,10,1,4,0,0,0,1,1,1,0,0,0,0,0,.455,.400,0.855
H Cota,MOB,C,.000,7,16,2,0,0,0,0,0,2,9,0,0,0,0,0,.158,.000,0.158
S Burroughs,CHA,3B,.220,57,168,14,37,10,1,0,18,25,24,2,1,1,0,11,.325,.292,0.616
M Ellis,CHA,2B,.000,2,4,1,0,0,0,0,0,1,2,0,0,0,0,0,.200,.000,0.2
J Mathis,JAX,C,.273,3,11,1,3,1,0,1,6,1,6,0,0,1,0,0,.333,.636,0.97
R Diaz,HVL,C,.276,58,174,12,48,12,1,3,22,4,14,1,1,1,0,5,.292,.408,0.7
T Manzella,BIR,3B,.059,10,34,0,2,0,0,0,0,2,16,1,0,0,0,2,.111,.059,0.17
A De La Rosa,HVL,C,.290,8,31,4,9,4,0,0,2,1,8,0,0,0,0,0,.313,.419,0.732
E Patterson,HVL,2B,.204,38,98,8,20,3,0,0,6,12,20,2,3,1,0,2,.291,.235,0.526
N Evans,MOB,1B,.267,133,454,73,121,24,1,19,81,66,111,2,4,0,6,9,.357,.449,0.806
M Costanzo,PNS,3B,.261,42,157,19,41,14,1,4,23,27,42,1,0,0,1,2,.368,.439,0.807
A Ciriaco,JAX,SS,.231,84,247,33,57,7,2,5,26,21,43,7,2,0,3,3,.296,.336,0.632
M Smith,PNS,1B,.214,21,70,9,15,5,0,3,11,9,13,0,0,0,1,0,.300,.414,0.714
T Torres,TNS,1B,.290,22,62,13,18,5,1,2,7,8,18,4,1,0,1,1,.375,.500,0.875
S McGill,MIS,C,.387,13,31,6,12,4,0,0,5,3,6,1,0,0,0,1,.472,.516,0.988
O Chavez,HVL,SS,.226,17,62,6,14,2,0,0,7,4,16,0,1,2,1,2,.269,.258,0.527
C Marrero,MIS,1B,.231,130,399,42,92,22,5,8,44,84,72,6,2,0,2,11,.366,.371,0.736
L Nunez,MIS,SS,.200,37,120,10,24,3,1,1,15,2,12,5,1,1,1,4,.218,.267,0.484
P Guerrero,CHA,3B,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0.0
L Sierra,BIR,C,.158,5,19,2,3,1,0,0,2,2,3,0,0,0,1,2,.227,.211,0.438
H Gomez,HVL,SS,.196,113,368,23,72,12,2,2,25,18,77,6,9,16,1,7,.238,.255,0.494
L Bonilla,JXN,3B,.235,33,98,9,23,2,0,0,11,16,24,3,1,1,0,2,.342,.255,0.597
J Fernandez,TNS,C,.269,18,52,3,14,2,0,1,8,6,11,0,1,2,0,1,.345,.365,0.71
J Mota,TNS,1B,.276,109,301,39,83,15,2,7,40,31,61,2,1,2,3,5,.348,.409,0.757
J Bianchi,HVL,SS,.267,5,15,0,4,0,0,0,1,1,2,0,1,0,0,1,.313,.267,0.579
L Morrison,JAX,1B,.182,10,33,5,6,0,0,2,7,2,4,0,0,0,0,2,.229,.364,0.592
M Wallach,CHA,C,.215,45,135,8,29,4,0,0,6,16,39,0,1,3,0,1,.316,.244,0.561
C Wimberly,PNS,2B,.260,59,177,19,46,3,1,1,10,10,17,6,3,3,3,0,.316,.305,0.621
C Gutierrez,JAX,SS,.212,85,236,19,50,9,2,3,18,28,41,2,2,3,1,5,.302,.305,0.607
R Chang,PNS,2B,.278,67,216,25,60,8,0,2,18,21,35,0,1,2,2,6,.339,.343,0.682
M Kennelly,PNS,C,.207,9,29,4,6,1,0,0,1,2,4,1,0,1,0,2,.281,.241,0.523
M Rojas,CHA,SS,.233,130,420,45,98,12,2,5,32,40,49,10,4,13,2,13,.303,.307,0.61
E Landoni,MIS,2B,.325,16,40,9,13,2,0,1,7,2,6,0,1,1,0,0,.357,.450,0.807
R Perez,MOB,C,.245,74,237,16,58,4,0,2,28,23,16,3,2,2,4,10,.315,.287,0.602
R Ynoa,CHA,2B,.267,128,484,56,129,30,1,6,33,51,69,16,11,7,0,7,.338,.370,0.708
O Martinez,CHA,3B,.249,76,253,20,63,11,0,4,19,19,35,5,4,3,0,5,.307,.340,0.646
G Erickson,CHA,C,.199,59,181,20,36,10,1,9,18,31,52,0,3,1,1,7,.324,.414,0.738
M Freeman,MOB,2B,.247,131,454,61,112,20,0,1,40,65,84,29,10,6,5,8,.345,.297,0.643
R Estrada,MTG,SS,.247,77,215,21,53,12,1,3,24,22,29,2,1,4,1,0,.315,.353,0.669
S O'Malley,MTG,SS,.262,91,321,53,84,12,6,3,32,32,60,24,3,11,3,3,.337,.364,0.702
M Thomas,MTG,C,.151,53,186,18,28,7,2,4,23,8,57,1,1,2,3,6,.195,.274,0.469
N Samson,TNS,2B,.257,30,35,5,9,2,0,0,4,7,7,0,1,0,1,1,.372,.314,0.686
V Catricala,JXN,3B,.253,48,174,23,44,8,0,3,21,15,39,2,1,0,3,5,.318,.351,0.669
D Ricardo,CHA,C,.250,9,16,3,4,1,0,1,3,1,2,0,0,0,0,0,.294,.500,0.794
R Morla,JXN,3B,.244,65,246,24,60,12,5,8,41,18,87,5,2,0,1,8,.302,.431,0.733
D Dietrich,JAX,2B,.271,63,218,35,59,13,3,11,38,29,60,3,0,0,0,1,.381,.509,0.89
J Griffin,MOB,1B,.232,61,220,22,51,7,1,3,33,15,70,0,1,0,2,6,.288,.314,0.601
