Section Name,Synonym,Credit,Title,Total Seats,Empty Seats,Meeting Information,Building - Room,Days,Start Time,End Time,Instructor,Location
ART-101-301,115811.0,3.0,Art History I,32.0,16.0,LECTURE,RMC-118,MW,11:30AM,12:45PM,CARTER,LEB
ART-105-301,115810.0,3.0,Art History II,24.0,17.0,LECTURE,RMC-103,MW,02:30PM,03:45PM,CARTER,LEB
ART-110-301,112749.0,3.0,Art And Experience,24.0,13.0,LECTURE,RMC-126,MW,04:00PM,05:15PM,CARTER,LEB
BCS-132-301,112852.0,3.0,Allied Health Nutrition,32.0,13.0,LECTURE,RMC-118,TH,02:30PM,05:15PM,OWENS,LEB
BCS-145-301,112885.0,4.0,Anatomy & Physiology I,24.0,0.0,LECTURE,RMC-116,TTH,01:00PM,02:15PM,VAUSE,LEB
 , , , , , ,LAB,RMC-119,T,02:30PM,04:20PM, , 
BCS-145-302,112886.0,4.0,Anatomy & Physiology I,24.0,6.0,LECTURE,RMC-119,MW,01:00PM,02:15PM,ANDERSON,LEB
 , , , , , ,LAB,RMC-119,M,02:30PM,04:20PM, , 
BCS-146-302,112908.0,4.0,Anatomy & Physiology II,24.0,14.0,LECTURE,RMC-126,W,12:30PM,03:15PM,HOWE,LEB
 , , , , , ,LAB,RMC-119,W,03:30PM,05:20PM, , 
BIO-100-303,112971.0,4.0,Life Science,24.0,12.0,LECTURE,RMC-118,TTH,08:30AM,09:45AM,FISHER,LEB
 , , , , , ,LAB,RMC-119,TH,10:00AM,11:50AM, , 
BIO-100-304,112972.0,4.0,Life Science,24.0,8.0,LECTURE,RMC-116,MW,08:30AM,09:45AM,FISHER,LEB
 , , , , , ,LAB,RMC-119,W,10:00AM,11:50AM, , 
BUS-110-302,113049.0,3.0,Principles Of Business,24.0,18.0,LECTURE,RMC-116,TTH,02:30PM,03:45PM,KULBACK,LEB
BUS-140-301,113102.0,3.0,Business Communications,24.0,13.0,LECTURE,RMC-122,TTH,01:00PM,02:15PM,KULBACK,LEB
CAC-120-302,113170.0,3.0,Keys To College Success,16.0,3.0,LECTURE,RMC-103,TTH,02:30PM,03:45PM,FRIEND,LEB
CAC-120-304,113171.0,3.0,Keys To College Success,16.0,4.0,LECTURE,RMC-103,MW,01:00PM,02:15PM,BENTELE,LEB
CHM-101-301,113203.0,4.0,Introductory Chemistry,24.0,10.0,LECTURE,RMC-125,TTH,01:00PM,02:15PM,CARR,LEB
 , , , , , ,LAB,RMC-125,T,02:30PM,04:20PM, , 
CIS-101-301,115688.0,3.0,Personal Computer Application,20.0,11.0,LECTURE,RMC-109,F,08:30AM,11:15AM,LOW,LEB
CIS-101-302,113282.0,3.0,Personal Computer Application,24.0,0.0,LECTURE,RMC-111,MW,11:30AM,12:45PM,ROAM,LEB
CIS-101-303,113283.0,3.0,Personal Computer Application,24.0,7.0,LECTURE,RMC-111,MW,10:00AM,11:15AM,ROAM,LEB
CIS-101-307,113286.0,3.0,Personal Computer Application,24.0,4.0,LECTURE,RMC-111,TTH,11:30AM,12:45PM,ROAM,LEB
CIS-101-309,113287.0,3.0,Personal Computer Application,24.0,20.0,LECTURE,RMC-111,TTH,07:00AM,08:15AM,LOW,LEB
COM-100-301,113388.0,3.0,Introduction To Communication,24.0,17.0,LECTURE,RMC-114,TTH,02:30PM,03:45PM,DINGES,LEB
COM-105-302,113445.0,3.0,Public Speaking,24.0,10.0,LECTURE,RMC-114,TTH,01:00PM,02:15PM,DINGES,LEB
COM-105-303,113446.0,3.0,Public Speaking,24.0,15.0,LECTURE,RMC-114,TTH,04:00PM,05:15PM,DINGES,LEB
CRM-210-301,113473.0,3.0,Intro To Criminal Justice,28.0,18.0,LECTURE,RMC-114,MW,01:00PM,02:15PM,JONES,LEB
CRM-250-301,115731.0,3.0,Policing In America,28.0,20.0,LECTURE,RMC-114,MW,02:30PM,03:45PM,JONES,LEB
ECD-101-301,113599.0,3.0,Intro To Early Childhood,18.0,12.0,LECTURE,RMC-122,F,01:30PM,04:20PM,WEDDLE,LEB
EDU-150-3A1,113672.0,1.0,Intro To Teacher Ed,24.0,11.0,LECTURE,RMC-103,MW,08:30AM,09:20AM,MATHIS,LEB
EDU-220-3B1,113683.0,3.0,Foundations Of Education,24.0,16.0,LECTURE,RMC-103,MW,08:30AM,11:15AM,MATHIS,LEB
EDU-270-301,113703.0,3.0,Teaching Pro W/ Field Expnce,24.0,17.0,LECTURE,RMC-103,MW,11:30AM,12:45PM,MATHIS,LEB
