Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Travis Shaw,Por,25,89,10,24,4,0,4,15,3,0,14,22,0.27,0.369,0.449,0.818
Michael Almanzar,Por,25,94,13,27,10,1,2,14,2,0,8,16,0.287,0.337,0.479,0.815
Jackie Bradley Jr.,Paw,19,82,12,21,10,1,2,9,2,2,8,14,0.256,0.33,0.476,0.805
Mark Hamilton,GCL,7,23,2,7,2,0,0,3,0,0,4,10,0.304,0.407,0.391,0.799
Dan Butler,Paw,16,57,6,15,2,0,3,11,0,0,6,13,0.263,0.338,0.456,0.795
Aaron King,GCL,7,26,2,7,0,2,0,3,0,0,4,7,0.269,0.367,0.423,0.79
Kendrick Perkins,Low,10,37,7,10,3,0,1,6,2,0,5,11,0.27,0.357,0.432,0.79
Tzu-Wei Lin,Low,10,36,5,10,3,1,0,5,2,1,6,2,0.278,0.372,0.417,0.789
Jeremy Hazelbaker,Paw,22,84,11,24,4,1,2,12,5,1,8,20,0.286,0.355,0.429,0.783
Drew Turocy,Gre,18,71,12,20,10,1,0,5,1,0,3,17,0.282,0.32,0.451,0.771
Bryce Brentz,Paw,21,85,7,21,3,0,5,12,0,0,5,21,0.247,0.304,0.459,0.763
Heiker Meneses,Por,21,66,10,19,3,0,1,7,3,2,6,17,0.288,0.382,0.379,0.76
Franklin Guzman,DSL,25,90,10,25,5,2,1,13,4,3,9,16,0.278,0.343,0.411,0.754
Luis Alexander Basabe,DSL,17,58,15,13,5,1,0,5,5,2,16,18,0.224,0.403,0.345,0.747
Stefan Welch,Sal,18,61,9,17,5,0,0,10,1,0,7,16,0.279,0.384,0.361,0.744
Cody Koback,SalGre,23,86,11,25,6,1,0,10,1,1,6,13,0.291,0.358,0.384,0.742
Peter Hissey,Por,16,65,9,17,5,0,2,8,3,1,4,12,0.262,0.304,0.431,0.735
Matty Johnson,PorSal,8,31,3,9,2,0,0,4,2,2,3,6,0.29,0.371,0.355,0.726
Deven Marrero,Sal,24,95,18,27,5,0,1,7,7,0,10,16,0.284,0.352,0.368,0.721
Jonathan Diaz,Paw,19,65,12,17,2,1,1,6,1,0,6,8,0.262,0.347,0.369,0.716
Aneudis Peralta,GCL,3,8,0,2,1,0,0,0,0,0,1,0,0.25,0.333,0.375,0.708
Luis Alejandro Basabe,DSL,20,55,7,12,2,2,0,6,6,1,15,19,0.218,0.378,0.327,0.706
Tony Thomas,Por,22,83,12,18,4,0,4,17,4,0,8,21,0.217,0.295,0.41,0.704
Matthew Gedman,Sal,14,43,5,12,0,0,1,6,0,0,5,11,0.279,0.354,0.349,0.703
Brock Holt,Paw,13,50,5,15,1,0,1,5,0,0,1,7,0.3,0.314,0.38,0.694
