SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1997 - 1998,Rosenborg,Norway2,-,-,-,-,-,-,-,-,-,-,-
1998 - 1999,Rosenborg,Norway2,-,-,-,-,-,-,-,-,-,-,-
1999 - 2000,Rosenborg,Norway2,28,11,4,13,-,-,103,107,26,4,-
2000 - 2001,Rosenborg,Norway2,32,5,4,23,-,-,88,151,14,8,-
2001 - 2002,Rosenborg,Norway2,32,4,7,21,-,-,86,162,15,9,-
2002 - 2003,Rosenborg,Norway2,36,10,4,22,-,-,111,190,24,6,-
2003 - 2004,Rosenborg,Norway2,36,5,0,31,-,-,78,294,10,10,-
2004 - 2005,Rosenborg,Norway3,32,31,0,1,-,-,346,72,62,1,Promoted
2005 - 2006,Rosenborg,Norway2,28,7,1,20,-,-,79,183,15,7,-
2006 - 2007,Rosenborg,Norway2,30,11,4,15,-,-,115,158,26,9,-
2007 - 2008,Rosenborg,Norway2,30,9,5,16,-,-,106,115,23,10,-
2008 - 2009,Rosenborg,Norway2,30,26,1,3,-,-,235,65,53,3,-
2009 - 2010,Rosenborg,Norway2,34,31,3,0,-,-,230,57,65,1,Promoted
2010 - 2011,Rosenborg,Norway,45,12,-,28,2,3,118,189,43,8,Quarterfinal loss
2011 - 2012,Rosenborg,Norway,44,13,-,27,3,1,109,164,49,8,Quarterfinal loss
2012 - 2013,Rosenborg IHK Elite,Norway,45,9,-,27,3,6,132,196,39,9,Saved in relegation
2013 - 2014,Rosenborg IHK Elite,Norway,45,11,-,28,2,4,118,188,41,8,Quarterfinal loss
